dataframe: MonthlyRate JobLevel DistanceFromHome Agesil: 0.3115742672363388, method: median, clusters: 3
=================================================dataframe: RateIncome MonthlyRate MonthlyIncome Agesil: 0.32135243147732545, method: average, clusters: 3
=================================================dataframe: RateIncome MonthlyRate MonthlyIncome Agesil: 0.3162706997344877, method: centroid, clusters: 3
=================================================dataframe: RateIncome MonthlyRate MonthlyIncome Agesil: 0.3042091769567288, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate MonthlyIncome Agesil: 0.3395337587732321, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate MonthlyIncome Agesil: 0.31402470396441806, method: average, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate MonthlyIncome Agesil: 0.31499043810581, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate MonthlyIncome Agesil: 0.3395337587732321, method: median, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate MonthlyIncome Agesil: 0.31499043810581, method: centroid, clusters: 4
=================================================dataframe: StockOptionLevel NumCompaniesWorked MonthlyIncome Agesil: 0.30669833663404544, method: single, clusters: 3
=================================================dataframe: StockOptionLevel NumCompaniesWorked MonthlyIncome Agesil: 0.30095201287208234, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel NumCompaniesWorked MonthlyIncome Agesil: 0.30095201287208234, method: median, clusters: 3
=================================================dataframe: StockOptionLevel PercentSalaryHike MonthlyIncome Agesil: 0.305318177973053, method: single, clusters: 3
=================================================dataframe: StockOptionLevel PercentSalaryHike MonthlyIncome Agesil: 0.3174158179123162, method: complete, clusters: 3
=================================================dataframe: StockOptionLevel PercentSalaryHike MonthlyIncome Agesil: 0.31839524817516107, method: average, clusters: 3
=================================================dataframe: StockOptionLevel PercentSalaryHike MonthlyIncome Agesil: 0.3166618517430415, method: ward, clusters: 3
=================================================dataframe: TrainingTimesLastYear PercentSalaryHike MonthlyIncome Agesil: 0.37512053417306546, method: median, clusters: 3
=================================================dataframe: TrainingTimesLastYear PercentSalaryHike MonthlyIncome Agesil: 0.37512053417306546, method: median, clusters: 4
=================================================dataframe: MonthlyRate RateIncome MonthlyIncome Agesil: 0.32135243147732545, method: average, clusters: 3
=================================================dataframe: MonthlyRate RateIncome MonthlyIncome Agesil: 0.3162706997344877, method: centroid, clusters: 3
=================================================dataframe: MonthlyRate RateIncome MonthlyIncome Agesil: 0.3042091769567288, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.319452125324588, method: single, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.36766486276192284, method: average, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.3323839499798566, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.37393816927805923, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.3325305301269467, method: median, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.3248776466763713, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.3116572672437955, method: complete, clusters: 4
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.3389258339036056, method: average, clusters: 4
=================================================dataframe: StockOptionLevel RateIncome MonthlyIncome Agesil: 0.30816695628879426, method: ward, clusters: 4
=================================================dataframe: TrainingTimesLastYear RateIncome MonthlyIncome Agesil: 0.3197221762575179, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole RateIncome MonthlyIncome Agesil: 0.3126843621392289, method: centroid, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyIncome Agesil: 0.3060678988243671, method: single, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyIncome Agesil: 0.3202214075014046, method: average, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyIncome Agesil: 0.3167068337473238, method: weighted, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyIncome Agesil: 0.31426714957951923, method: ward, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyIncome Agesil: 0.30767457493983935, method: average, clusters: 4
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyIncome Agesil: 0.3014873848586386, method: ward, clusters: 4
=================================================dataframe: MonthlyRate StockOptionLevel MonthlyIncome Agesil: 0.33953375877323216, method: single, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel MonthlyIncome Agesil: 0.31402470396441806, method: average, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel MonthlyIncome Agesil: 0.31499043810581007, method: centroid, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel MonthlyIncome Agesil: 0.33953375877323216, method: median, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel MonthlyIncome Agesil: 0.31499043810581007, method: centroid, clusters: 4
=================================================dataframe: NumCompaniesWorked StockOptionLevel MonthlyIncome Agesil: 0.30669833663404544, method: single, clusters: 3
=================================================dataframe: NumCompaniesWorked StockOptionLevel MonthlyIncome Agesil: 0.30095201287208234, method: weighted, clusters: 3
=================================================dataframe: NumCompaniesWorked StockOptionLevel MonthlyIncome Agesil: 0.30095201287208234, method: median, clusters: 3
=================================================dataframe: PercentSalaryHike StockOptionLevel MonthlyIncome Agesil: 0.30531817797305305, method: single, clusters: 3
=================================================dataframe: PercentSalaryHike StockOptionLevel MonthlyIncome Agesil: 0.3174158179123162, method: complete, clusters: 3
=================================================dataframe: PercentSalaryHike StockOptionLevel MonthlyIncome Agesil: 0.31839524817516107, method: average, clusters: 3
=================================================dataframe: PercentSalaryHike StockOptionLevel MonthlyIncome Agesil: 0.31666185174304146, method: ward, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.319452125324588, method: single, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.36766486276192284, method: average, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.3323839499798566, method: weighted, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.3739381692780591, method: centroid, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.3325305301269467, method: median, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.3248776466763713, method: ward, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.3116572672437955, method: complete, clusters: 4
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.3389258339036055, method: average, clusters: 4
=================================================dataframe: RateIncome StockOptionLevel MonthlyIncome Agesil: 0.30816695628879426, method: ward, clusters: 4
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3557851401593921, method: single, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3557851401593921, method: average, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3147535861429588, method: weighted, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3598722402519633, method: centroid, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.4018524554387846, method: median, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3004108761944697, method: ward, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3102906248983919, method: centroid, clusters: 4
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyIncome Agesil: 0.3044291035010551, method: ward, clusters: 4
=================================================dataframe: YearsInCurrentRole StockOptionLevel MonthlyIncome Agesil: 0.31196634278043534, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel MonthlyIncome Agesil: 0.32243304850106447, method: average, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel MonthlyIncome Agesil: 0.3865010176870352, method: median, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel MonthlyIncome Agesil: 0.33740713302367903, method: ward, clusters: 3
=================================================dataframe: FractionYearsAtCompany StockOptionLevel MonthlyIncome Agesil: 0.3095213871691803, method: average, clusters: 3
=================================================dataframe: FractionYearsAtCompany StockOptionLevel MonthlyIncome Agesil: 0.3642272993002397, method: centroid, clusters: 3
=================================================dataframe: PercentSalaryHike TrainingTimesLastYear MonthlyIncome Agesil: 0.37512053417306546, method: median, clusters: 3
=================================================dataframe: PercentSalaryHike TrainingTimesLastYear MonthlyIncome Agesil: 0.37512053417306546, method: median, clusters: 4
=================================================dataframe: RateIncome TrainingTimesLastYear MonthlyIncome Agesil: 0.3197221762575179, method: single, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.3557851401593921, method: single, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.3557851401593921, method: average, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.3147535861429588, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.3598722402519633, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.4018524554387846, method: median, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.3004108761944697, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.3102906248983919, method: centroid, clusters: 4
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyIncome Agesil: 0.30442910350105507, method: ward, clusters: 4
=================================================dataframe: YearsInCurrentRole TrainingTimesLastYear MonthlyIncome Agesil: 0.341412840920466, method: centroid, clusters: 3
=================================================dataframe: RateIncome YearsInCurrentRole MonthlyIncome Agesil: 0.3126843621392289, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole MonthlyIncome Agesil: 0.3119663427804353, method: single, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole MonthlyIncome Agesil: 0.3224330485010644, method: average, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole MonthlyIncome Agesil: 0.3865010176870352, method: median, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole MonthlyIncome Agesil: 0.33740713302367903, method: ward, clusters: 3
=================================================dataframe: TrainingTimesLastYear YearsInCurrentRole MonthlyIncome Agesil: 0.341412840920466, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel FractionYearsAtCompany MonthlyIncome Agesil: 0.30952138716918026, method: average, clusters: 3
=================================================dataframe: StockOptionLevel FractionYearsAtCompany MonthlyIncome Agesil: 0.3642272993002397, method: centroid, clusters: 3
=================================================dataframe: JobLevel DistanceFromHome MonthlyRate Agesil: 0.3115742672363387, method: median, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyRate Agesil: 0.30303068984896087, method: median, clusters: 3
=================================================dataframe: DistanceFromHome JobLevel MonthlyRate Agesil: 0.3115742672363388, method: median, clusters: 3
=================================================dataframe: StockOptionLevel JobLevel MonthlyRate Agesil: 0.3117122017338979, method: single, clusters: 3
=================================================dataframe: StockOptionLevel JobLevel MonthlyRate Agesil: 0.3117122017338979, method: average, clusters: 3
=================================================dataframe: StockOptionLevel JobLevel MonthlyRate Agesil: 0.3117122017338979, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel JobLevel MonthlyRate Agesil: 0.3117122017338979, method: centroid, clusters: 4
=================================================dataframe: RateIncome MonthlyIncome MonthlyRate Agesil: 0.32135243147732545, method: average, clusters: 3
=================================================dataframe: RateIncome MonthlyIncome MonthlyRate Agesil: 0.3162706997344877, method: centroid, clusters: 3
=================================================dataframe: RateIncome MonthlyIncome MonthlyRate Agesil: 0.3042091769567288, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome MonthlyRate Agesil: 0.3395337587732321, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome MonthlyRate Agesil: 0.31402470396441806, method: average, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome MonthlyRate Agesil: 0.31499043810581, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome MonthlyRate Agesil: 0.3395337587732321, method: median, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome MonthlyRate Agesil: 0.31499043810581, method: centroid, clusters: 4
=================================================dataframe: StockOptionLevel NumCompaniesWorked MonthlyRate Agesil: 0.3091741922722552, method: single, clusters: 3
=================================================dataframe: StockOptionLevel PercentSalaryHike MonthlyRate Agesil: 0.3016800754754794, method: single, clusters: 3
=================================================dataframe: MonthlyIncome RateIncome MonthlyRate Agesil: 0.3213524314773254, method: average, clusters: 3
=================================================dataframe: MonthlyIncome RateIncome MonthlyRate Agesil: 0.3162706997344877, method: centroid, clusters: 3
=================================================dataframe: MonthlyIncome RateIncome MonthlyRate Agesil: 0.3042091769567288, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.3022550353977178, method: single, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.33860740688064683, method: complete, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.34130217591911455, method: average, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.3297926749488862, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.3225483110123437, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.3095088419669268, method: complete, clusters: 4
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.3152833784392192, method: average, clusters: 4
=================================================dataframe: StockOptionLevel RateIncome MonthlyRate Agesil: 0.31261721802651765, method: ward, clusters: 4
=================================================dataframe: FractionYearsAtCompany RateIncome MonthlyRate Agesil: 0.3064919599465673, method: single, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel MonthlyRate Agesil: 0.30303068984896087, method: median, clusters: 3
=================================================dataframe: JobLevel StockOptionLevel MonthlyRate Agesil: 0.3117122017338979, method: single, clusters: 3
=================================================dataframe: JobLevel StockOptionLevel MonthlyRate Agesil: 0.3117122017338979, method: average, clusters: 3
=================================================dataframe: JobLevel StockOptionLevel MonthlyRate Agesil: 0.3117122017338979, method: centroid, clusters: 3
=================================================dataframe: JobLevel StockOptionLevel MonthlyRate Agesil: 0.3117122017338979, method: centroid, clusters: 4
=================================================dataframe: MonthlyIncome StockOptionLevel MonthlyRate Agesil: 0.3395337587732321, method: single, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel MonthlyRate Agesil: 0.31402470396441806, method: average, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel MonthlyRate Agesil: 0.31499043810581007, method: centroid, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel MonthlyRate Agesil: 0.3395337587732321, method: median, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel MonthlyRate Agesil: 0.31499043810581007, method: centroid, clusters: 4
=================================================dataframe: NumCompaniesWorked StockOptionLevel MonthlyRate Agesil: 0.3091741922722552, method: single, clusters: 3
=================================================dataframe: PercentSalaryHike StockOptionLevel MonthlyRate Agesil: 0.3016800754754794, method: single, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.3022550353977178, method: single, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.3386074068806468, method: complete, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.34130217591911455, method: average, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.3297926749488862, method: weighted, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.3225483110123437, method: ward, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.3095088419669268, method: complete, clusters: 4
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.3152833784392193, method: average, clusters: 4
=================================================dataframe: RateIncome StockOptionLevel MonthlyRate Agesil: 0.31261721802651765, method: ward, clusters: 4
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyRate Agesil: 0.3160697159228516, method: single, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyRate Agesil: 0.3189858375655327, method: average, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyRate Agesil: 0.30725174391331433, method: weighted, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel MonthlyRate Agesil: 0.32186450557663815, method: centroid, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel MonthlyRate Agesil: 0.32118832928709795, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel MonthlyRate Agesil: 0.32118832928709795, method: average, clusters: 3
=================================================dataframe: FractionYearsAtCompany StockOptionLevel MonthlyRate Agesil: 0.317677080719733, method: single, clusters: 3
=================================================dataframe: FractionYearsAtCompany StockOptionLevel MonthlyRate Agesil: 0.317677080719733, method: average, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyRate Agesil: 0.31606971592285155, method: single, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyRate Agesil: 0.3189858375655327, method: average, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyRate Agesil: 0.30725174391331433, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear MonthlyRate Agesil: 0.32186450557663815, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole MonthlyRate Agesil: 0.32118832928709795, method: single, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole MonthlyRate Agesil: 0.32118832928709795, method: average, clusters: 3
=================================================dataframe: RateIncome FractionYearsAtCompany MonthlyRate Agesil: 0.3064919599465673, method: single, clusters: 3
=================================================dataframe: StockOptionLevel FractionYearsAtCompany MonthlyRate Agesil: 0.31767708071973294, method: single, clusters: 3
=================================================dataframe: StockOptionLevel FractionYearsAtCompany MonthlyRate Agesil: 0.31767708071973294, method: average, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome NumCompaniesWorked Agesil: 0.31701934794625614, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome NumCompaniesWorked Agesil: 0.306698336633946, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome NumCompaniesWorked Agesil: 0.30095201287202694, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome NumCompaniesWorked Agesil: 0.30095201287202694, method: median, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate NumCompaniesWorked Agesil: 0.3091741922722553, method: single, clusters: 3
=================================================dataframe: StockOptionLevel PercentSalaryHike NumCompaniesWorked Agesil: 0.335703443654694, method: single, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome NumCompaniesWorked Agesil: 0.30405263300725766, method: single, clusters: 3
=================================================dataframe: DistanceFromHome StockOptionLevel NumCompaniesWorked Agesil: 0.3170193479462561, method: single, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel NumCompaniesWorked Agesil: 0.306698336633946, method: single, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel NumCompaniesWorked Agesil: 0.300952012872027, method: weighted, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel NumCompaniesWorked Agesil: 0.300952012872027, method: median, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel NumCompaniesWorked Agesil: 0.3091741922722553, method: single, clusters: 3
=================================================dataframe: PercentSalaryHike StockOptionLevel NumCompaniesWorked Agesil: 0.335703443654694, method: single, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel NumCompaniesWorked Agesil: 0.3040526330072577, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel NumCompaniesWorked Agesil: 0.34751182839027234, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel NumCompaniesWorked Agesil: 0.34751182839027234, method: single, clusters: 4
=================================================dataframe: FractionYearsAtCompany StockOptionLevel NumCompaniesWorked Agesil: 0.3282998065215492, method: median, clusters: 3
=================================================dataframe: YearsInCurrentRole TrainingTimesLastYear NumCompaniesWorked Agesil: 0.30884969206931473, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole TrainingTimesLastYear NumCompaniesWorked Agesil: 0.30884969206931473, method: single, clusters: 4
=================================================dataframe: StockOptionLevel YearsInCurrentRole NumCompaniesWorked Agesil: 0.347511828389411, method: single, clusters: 3
=================================================dataframe: StockOptionLevel YearsInCurrentRole NumCompaniesWorked Agesil: 0.347511828389411, method: single, clusters: 4
=================================================dataframe: TrainingTimesLastYear YearsInCurrentRole NumCompaniesWorked Agesil: 0.30884969206909696, method: single, clusters: 3
=================================================dataframe: TrainingTimesLastYear YearsInCurrentRole NumCompaniesWorked Agesil: 0.30884969206909696, method: single, clusters: 4
=================================================dataframe: StockOptionLevel FractionYearsAtCompany NumCompaniesWorked Agesil: 0.3282998065214707, method: median, clusters: 3
=================================================dataframe: StockOptionLevel JobLevel PercentSalaryHike Agesil: 0.32589901164778534, method: single, clusters: 3
=================================================dataframe: TrainingTimesLastYear JobLevel PercentSalaryHike Agesil: 0.33190937739749365, method: median, clusters: 3
=================================================dataframe: TrainingTimesLastYear JobLevel PercentSalaryHike Agesil: 0.33190937739749365, method: median, clusters: 4
=================================================dataframe: StockOptionLevel MonthlyIncome PercentSalaryHike Agesil: 0.3053181779729975, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome PercentSalaryHike Agesil: 0.3174158179122569, method: complete, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome PercentSalaryHike Agesil: 0.31839524817510223, method: average, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome PercentSalaryHike Agesil: 0.31666185174298395, method: ward, clusters: 3
