Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,RateIncome,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,FractionYearsAtCompany
45.5,No,Research & Development,3.0,Doctor,Life Sciences,Very High,Male,Medium,1.4142135623730951,Healthcare Representative,Very High,Married,3.0,No,3.7416573867739413,Excellent,Very High,0.17104339278191252,1.0,2.0,Bad,1.4142135623730951,1.0
33.5,No,Research & Development,4.47213595499958,Below College,Life Sciences,Low,Female,High,1.4142135623730951,Laboratory Technician,High,Single,0.0,No,3.7416573867739413,Excellent,Medium,0.16919232629372885,0.0,5.0,Better,1.7320508075688772,0.5999999999999999
26.0,No,Research & Development,1.4142135623730951,College,Life Sciences,High,Male,Medium,1.4142135623730951,Healthcare Representative,Very High,Divorced,2.23606797749979,No,3.7416573867739413,Excellent,Very High,0.3341324921135648,1.0,3.0,Best,0.0,0.4705882352941177
34.0,No,Research & Development,5.0990195135927845,Doctor,Medical,Low,Male,High,1.7320508075688772,Research Director,Low,Married,1.7320508075688772,Yes,4.123105625617661,Excellent,High,0.16051715991581106,0.0,1.0,Better,0.0,0.14999999999999994
32.0,No,Research & Development,1.0,Bachelor,Medical,Very High,Female,High,2.0,Research Director,Very High,Single,2.449489742783178,No,4.358898943540674,Outstanding,Very High,0.7384996461429602,0.0,5.0,Good,2.6457513110645907,0.3448275862068966
35.0,No,Human Resources,1.0,Master,Other,Very High,Female,High,1.0,Human Resources,Medium,Married,0.0,Yes,3.3166247903554,MISSING,Medium,0.46516079632465507,1.0,3.0,Better,1.4142135623730951,0.7142857142857143
58.0,No,Research & Development,2.8284271247461903,Below College,Medical,Very High,Female,Medium,1.7320508075688772,Research Director,Medium,Divorced,1.4142135623730951,No,3.3166247903554,Excellent,High,0.7524028914131385,1.0,0.0,Better,2.8284271247461903,0.6250000000000001
45.0,No,Sales,1.4142135623730951,Master,Life Sciences,Low,Male,Medium,2.23606797749979,Manager,High,Single,1.0,Yes,4.242640687119285,Outstanding,Very High,0.5110794103661439,0.0,3.0,Best,2.6457513110645907,0.6969696969696969
38.0,No,Sales,1.4142135623730951,College,Medical,High,Male,High,2.0,Manager,High,Divorced,2.449489742783178,No,3.6055512754639887,Excellent,High,0.4511407662505386,1.0,3.0,Best,3.6055512754639887,0.1818181818181818
37.0,No,Sales,4.58257569495584,Bachelor,Marketing,High,Male,Very High,1.0,Sales Representative,Very High,Single,1.0,No,4.123105625617661,Excellent,Very High,0.8265346534653488,0.0,3.0,Better,1.0,0.0
54.0,No,Research & Development,1.0,Master,Life Sciences,Very High,Female,Medium,2.0,Manager,Low,Married,2.6457513110645907,No,3.3166247903554,Excellent,Low,0.3808412513196642,1.0,2.0,Bad,1.4142135623730951,0.3333333333333334
40.0,No,Research & Development,5.0,Bachelor,Medical,Low,Male,High,1.7320508075688772,Healthcare Representative,High,Single,1.4142135623730951,No,4.795831523312719,Excellent,Medium,0.8028125955365337,0.0,2.0,Better,3.7416573867739413,0.08
38.0,No,Sales,2.8284271247461903,College,Other,High,Male,High,1.7320508075688772,Sales Executive,High,Divorced,2.23606797749979,No,3.3166247903554,Excellent,Low,0.26901874310915114,1.0,0.0,Best,2.0,0.2
24.0,No,Research & Development,1.0,Master,Medical,Very High,Female,High,1.0,Laboratory Technician,High,Single,0.0,Yes,3.3166247903554,Excellent,High,0.586232095878398,0.0,5.0,Good,1.4142135623730951,0.7999999999999999
33.5,No,Sales,2.23606797749979,Bachelor,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,High,Divorced,1.0,No,3.6055512754639887,Excellent,High,0.564352789541521,1.7320508075688772,3.0,Better,3.0,0.4
26.0,No,Research & Development,1.7320508075688772,Master,Medical,High,Female,High,1.4142135623730951,Manufacturing Director,Low,Married,1.0,No,3.4641016151377544,Excellent,High,0.19617824996311045,1.0,2.0,Best,2.6457513110645907,0.375
