Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18.0,No,663,Research & Development,9,Master,Other,High,Male,81,High,2,Laboratory Technician,High,Divorced,1420.0,23099,3,No,11,Excellent,High,2,11,2.0,Best,0.0,7,0,7
22.0,No,954,Sales,9,Bachelor,Marketing,Very High,Female,44,High,2,Sales Executive,Very High,Single,4171.0,5099,1,No,14,Excellent,Low,0,7,3.0,Better,3.0,7,0,7
34.0,No,635,Sales,10,Master,Medical,Medium,Female,32,High,3,Sales Executive,Very High,Single,6687.0,15318,1,No,14,MISSING,Very High,0,10,2.0,Good,14.0,3,9,7
40.0,No,868,Sales,8,Bachelor,Marketing,Low,Male,73,High,4,Sales Executive,Very High,Married,4876.0,22789,5,No,14,Excellent,High,1,28,5.0,Better,3.0,0,2,2
57.5,No,1278,Sales,1,Master,Medical,High,Male,31,Low,2,Sales Executive,Very High,Divorced,8095.0,7677,1,No,14,Excellent,High,2,6,5.0,Good,16.0,3,1,3
47.0,Yes,1180,Research & Development,29,Below College,Medical,Medium,Female,70,High,2,Healthcare Representative,Low,Married,13770.0,11354,7,Yes,19,Excellent,Medium,0,17,2.0,Better,22.0,0,0,0
33.0,Yes,874,Research & Development,15,Bachelor,Medical,High,Female,72,High,1,Laboratory Technician,High,Married,6284.0,6233,1,No,12,MISSING,High,1,2,2.0,Good,10.0,2,2,2
35.0,Yes,654,Research & Development,1,College,Life Sciences,Low,Male,67,Low,1,Research Scientist,Medium,Single,2404.0,3872,7,Yes,13,Excellent,Very High,0,10,2.0,Better,1.0,7,3,7
26.0,No,144,Research & Development,22,Bachelor,Life Sciences,Very High,Male,46,Low,1,Laboratory Technician,High,Single,4741.0,19225,0,No,15,Excellent,High,0,6,3.0,Better,5.0,4,4,3
31.0,No,991,Research & Development,6,Bachelor,Life Sciences,High,Female,71,High,1,Laboratory Technician,Very High,Married,2302.0,17759,1,Yes,13,Excellent,High,1,3,2.0,Better,3.0,2,0,2
26.0,No,852,Research & Development,5,Master,Life Sciences,Medium,Male,82,Medium,1,Research Scientist,Low,Married,4420.0,13072,9,Yes,14,Outstanding,Very High,1,6,2.0,Best,8.0,1,0,0
40.0,No,1224,Research & Development,10,Bachelor,Life Sciences,Very High,Male,91,Medium,5,Research Director,Medium,Married,19436.0,13583,4,No,12,Excellent,Very High,0,29,5.0,Better,21.0,10,12,9
51.0,No,1189,Research & Development,1,Bachelor,Life Sciences,Very High,Male,90,High,2,Research Scientist,Very High,Married,19847.0,9867,7,No,15,MISSING,Very High,2,19,5.0,Best,29.0,11,2,9
55.0,Yes,556,Research & Development,23,College,Life Sciences,Medium,Male,50,Medium,2,Manufacturing Director,High,Married,5415.0,15497,3,Yes,13,Excellent,Low,0,8,4.0,Better,10.0,0,0,1
31.0,No,1065,Sales,23,Master,Marketing,Medium,Female,72,High,2,Sales Executive,High,Single,4174.0,10034,0,No,20,Excellent,High,0,10,3.0,Better,1.0,5,8,7
30.0,No,1003,Research & Development,2,College,Life Sciences,Very High,Male,95,High,2,Manufacturing Director,High,Single,4115.0,15834,2,No,11,Excellent,Very High,0,5,3.0,Good,4.0,2,0,2
27.5,No,1023,Sales,2,Bachelor,Medical,Very High,Male,63,Medium,2,Sales Executive,Medium,Married,1393.0,13243,2,No,14,MISSING,Very High,0,17,2.0,Good,1.0,6,0,8
55.0,No,300,Research & Development,1,Bachelor,Life Sciences,Very High,Male,61,High,1,Laboratory Technician,Very High,Divorced,19636.0,9148,0,No,12,Excellent,Medium,1,4,0.0,Better,10.0,0,0,2
53.0,No,654,Research & Development,5,Bachelor,Life Sciences,Very High,Female,34,Medium,3,Healthcare Representative,Very High,Divorced,18606.0,21214,4,No,15,Excellent,High,1,9,6.0,Better,7.0,2,1,2
36.0,No,1303,Research & Development,2,Master,Life Sciences,Very High,Male,62,Medium,1,Research Scientist,High,Divorced,4941.0,8416,3,No,12,Outstanding,High,1,14,0.0,Better,3.0,3,5,7
57.5,No,857,Research & Development,10,Bachelor,Other,High,Female,59,High,2,Research Scientist,High,Single,6667.0,7909,3,No,13,Excellent,Very High,0,10,6.0,Best,5.0,7,1,7
33.5,No,939,Research & Development,24,Bachelor,Life Sciences,Very High,Male,95,High,4,Manufacturing Director,High,Married,2523.0,4161,3,Yes,18,MISSING,Very High,1,22,2.0,Better,2.0,11,1,5
35.0,No,1167,Research & Development,4,College,Life Sciences,Low,Female,76,High,1,Research Scientist,High,Divorced,4601.0,3208,1,No,11,Excellent,Medium,3,5,2.0,Better,2.5,3,0,3
31.0,Yes,1030,Sales,5,Bachelor,Life Sciences,Medium,Male,64,High,3,Sales Executive,Medium,Single,2321.0,21534,9,Yes,19,Outstanding,High,0,10,0.0,Good,3.0,7,7,7
55.0,Yes,658,Research & Development,7,Bachelor,Life Sciences,Low,Male,66,Low,2,Laboratory Technician,High,Single,13695.0,22887,1,Yes,24,Excellent,Very High,0,9,5.0,Better,19.0,7,0,6
31.0,Yes,544,Sales,3,College,Medical,Medium,Female,70,High,1,Sales Representative,Very High,Single,4084.0,18420,1,Yes,12,Excellent,High,0,0,2.0,Best,7.5,0,0,0
27.0,No,682,Sales,10,Master,Medical,Very High,Male,37,High,4,Sales Executive,High,Single,3041.0,24409,0,No,13,Excellent,High,0,38,6.0,Good,4.0,10,1,8
39.0,No,163,Sales,2,Doctor,Marketing,Medium,Male,37,High,2,Sales Executive,Very High,Married,4108.0,19658,2,No,14,Excellent,Low,1,14,2.0,Better,7.0,7,6,7
55.0,No,1464,Research & Development,2,Master,Medical,Medium,Male,62,High,5,Research Director,High,Married,19045.0,12853,2,Yes,11,Excellent,Very High,1,29,2.0,Good,36.0,1,7,7
47.0,No,359,Research & Development,2,Master,Medical,Low,Male,82,High,4,Research Director,High,Married,2064.0,26703,3,No,19,Excellent,Medium,2,26,3.0,Best,5.0,17,5,6
33.5,Yes,1204,Sales,4,Bachelor,Technical Degree,Very High,Male,86,High,3,Sales Executive,Low,Single,14336.0,10333,0,Yes,22,Excellent,Low,0,9,3.0,Better,25.0,7,4,7
51.0,Yes,1256,Research & Development,3,Master,Life Sciences,High,Female,48,Medium,1,Research Scientist,Very High,Married,16307.0,4223,0,Yes,11,Excellent,Medium,1,1,2.0,Better,20.0,0,0,0
38.0,No,543,Sales,2,Master,Marketing,High,Male,87,High,2,Sales Executive,Medium,Married,8394.0,3536,7,No,11,Excellent,Very High,1,4,2.0,Bad,1.0,0,0,0
36.0,No,1035,Sales,3,Master,Life Sciences,Medium,Male,42,High,2,Sales Executive,Very High,Single,3688.0,4981,8,Yes,12,Excellent,High,0,19,2.0,Better,1.0,0,0,0
29.0,No,489,Research & Development,23,Bachelor,Medical,Medium,Male,67,High,2,Laboratory Technician,Medium,Married,4319.0,25043,4,No,12,Excellent,High,1,17,1.0,Best,10.0,2,1,2
42.0,No,472,Research & Development,1,Below College,Technical Degree,High,Female,60,Medium,2,Manufacturing Director,Low,Married,13191.0,9679,5,No,19,Excellent,High,1,6,6.0,Better,1.0,2,2,0
34.0,No,704,Sales,28,Bachelor,Marketing,Very High,Male,95,Medium,2,Sales Executive,High,Married,4033.0,8978,1,No,21,Excellent,Very High,2,8,3.0,Better,3.0,7,1,7
27.5,Yes,666,Research & Development,29,Master,Life Sciences,Low,Female,88,High,3,Manager,Medium,Married,2600.0,10268,1,Yes,12,Excellent,Very High,1,10,2.0,Good,1.0,7,9,9
41.0,No,592,Research & Development,7,Bachelor,Life Sciences,Very High,Male,59,High,1,Laboratory Technician,Low,Single,8392.0,19384,3,No,14,Excellent,Medium,0,11,2.0,Better,10.0,2,1,2
35.0,No,422,Research & Development,7,Bachelor,Life Sciences,Low,Female,41,High,5,Manager,Low,Married,9069.0,3854,5,No,11,Outstanding,Very High,0,33,2.0,Bad,9.0,8,11,10
51.5,Yes,1360,Research & Development,12,Bachelor,Technical Degree,Medium,Male,49,High,5,Research Director,High,Married,12614.0,16280,1,No,12,MISSING,Very High,0,23,6.0,Better,1.0,15,15,8
48.0,No,200,Research & Development,29,Master,Other,Very High,Male,32,High,2,Research Scientist,Very High,Single,10999.0,7744,1,No,25,MISSING,Medium,0,20,3.0,Better,15.0,11,13,17
38.0,No,1107,Research & Development,28,Master,Life Sciences,High,Male,93,High,1,Research Scientist,Very High,Divorced,3944.0,26968,4,No,22,Excellent,Low,1,11,3.0,Better,3.0,5,1,7
45.5,Yes,265,Sales,29,College,Medical,Medium,Male,79,Low,2,Sales Executive,Low,Single,3681.0,21813,8,No,18,Excellent,Very High,0,7,2.0,Better,3.0,2,2,2
46.0,No,806,Research & Development,1,Master,Life Sciences,Medium,Male,76,Low,1,Research Scientist,Very High,Divorced,9619.0,18959,1,No,18,Excellent,Very High,1,10,3.0,Better,9.0,7,2,8
41.0,No,882,Sales,3,Master,Life Sciences,Very High,Male,92,High,3,Sales Executive,Very High,Divorced,2451.0,6812,6,No,13,Excellent,Medium,1,12,2.0,Better,9.0,9,0,8
36.0,No,469,Sales,10,Bachelor,Medical,High,Male,42,Medium,2,Sales Executive,High,Single,6134.0,23413,9,No,11,MISSING,High,0,8,3.0,Better,2.0,2,1,4
28.0,No,738,Research & Development,9,Doctor,Other,Medium,Male,30,Medium,1,Laboratory Technician,Very High,Single,2706.0,7621,0,No,17,Excellent,High,0,4,3.0,Better,3.0,2,2,2
34.0,Yes,303,Sales,27,Bachelor,Life Sciences,High,Female,84,High,2,Sales Executive,Very High,Single,14724.0,13492,1,Yes,18,Excellent,Very High,0,10,3.0,Better,16.0,7,7,7
34.0,No,464,Research & Development,16,Bachelor,Medical,Very High,Male,74,High,1,Laboratory Technician,Low,Divorced,3622.0,24941,4,Yes,16,Excellent,Medium,1,17,3.0,Good,6.0,2,2,2
56.0,No,290,Research & Development,21,Bachelor,Life Sciences,Medium,Female,65,Very High,1,Research Scientist,Low,Married,19943.0,22977,1,Yes,12,MISSING,Low,1,8,2.0,Good,5.0,7,1,7
33.0,No,124,Research & Development,3,Bachelor,Other,Very High,Male,35,High,2,Healthcare Representative,Medium,Single,5207.0,13848,3,No,15,Excellent,Low,0,8,3.0,Good,15.0,3,0,1
41.0,No,140,Research & Development,12,Below College,Medical,High,Male,95,High,1,Research Scientist,Very High,Married,6151.0,6984,8,Yes,23,Excellent,High,1,7,4.0,Better,19.0,2,0,2
44.0,No,170,Research & Development,3,College,Medical,High,Male,76,Medium,2,Laboratory Technician,High,Divorced,3420.0,10302,0,No,15,Excellent,Very High,1,11,3.0,Better,5.0,8,0,7
21.0,No,217,Sales,3,Bachelor,Medical,Very High,Male,49,High,4,Sales Executive,High,Divorced,3117.0,10225,9,Yes,12,Excellent,Very High,2,28,2.0,Good,2.0,2,11,13
26.0,No,431,Research & Development,7,Master,Medical,Very High,Male,68,High,2,Research Scientist,Very High,Married,5472.0,15696,4,No,15,Excellent,Medium,1,14,2.0,Good,8.0,1,1,7
45.0,No,243,Sales,7,Master,Marketing,Very High,Male,46,Medium,2,Sales Executive,Very High,Single,5154.0,7791,0,No,20,MISSING,Low,0,8,3.0,Better,8.0,7,0,5
48.0,No,638,Research & Development,8,College,Medical,High,Male,91,Very High,2,Research Scientist,High,Married,18265.0,22162,5,No,12,MISSING,High,1,9,2.0,Good,1.0,3,1,3
56.0,Yes,370,Research & Development,10,Master,Medical,Very High,Male,58,High,2,Manufacturing Director,Low,Single,11103.0,4992,1,No,15,Excellent,Medium,0,10,1.0,Bad,10.0,3,0,8
27.5,No,1136,Research & Development,1,Master,Medical,Medium,Female,81,Very High,4,Research Director,Very High,Divorced,4869.0,12414,2,No,13,Excellent,Very High,2,31,3.0,Best,4.0,7,0,0
27.5,No,674,Research & Development,13,Bachelor,Medical,Low,Male,47,High,2,Research Scientist,Very High,Married,2028.0,3031,1,No,17,Excellent,Low,0,10,6.0,Better,14.0,8,3,7
34.0,No,501,Sales,5,Below College,Medical,High,Male,58,High,1,Sales Representative,Low,Single,16834.0,25479,1,Yes,11,MISSING,Very High,0,2,2.0,Better,4.0,2,1,2
19.0,No,1480,Research & Development,3,College,Medical,Very High,Male,30,High,1,Laboratory Technician,Medium,Single,2564.0,15062,4,No,12,Excellent,High,0,13,3.0,Good,1.0,7,7,2
26.0,Yes,1434,Research & Development,5,Master,Technical Degree,High,Female,50,High,1,Laboratory Technician,High,Single,4174.0,11179,1,Yes,13,Outstanding,High,0,2,2.0,Good,3.0,2,2,2
44.0,No,924,Research & Development,2,Bachelor,Medical,High,Male,78,High,1,Laboratory Technician,Very High,Single,2064.0,6670,4,No,11,Outstanding,Very High,0,7,3.0,Better,2.5,1,0,0
27.5,Yes,1085,Research & Development,2,Master,Life Sciences,Medium,Male,57,Low,1,Laboratory Technician,Very High,Divorced,2451.0,17725,4,Yes,13,Excellent,High,1,10,3.0,Good,1.0,7,1,0
51.0,No,622,Sales,13,Below College,Medical,Medium,Male,40,High,1,Sales Representative,High,Married,10596.0,26376,1,No,11,Excellent,High,0,7,5.0,Better,4.0,4,0,6
24.0,No,1181,Research & Development,1,Bachelor,Life Sciences,High,Male,82,High,1,Research Scientist,Very High,Married,10504.0,5531,1,No,11,Excellent,High,1,5,2.0,Best,0.0,3,0,3
31.0,No,1158,Research & Development,9,Bachelor,Medical,Very High,Male,94,High,1,Research Scientist,Very High,Married,3722.0,2613,1,No,23,Excellent,Very High,1,5,2.0,Good,2.0,2,0,4
39.5,No,241,Research & Development,7,Bachelor,Medical,Medium,Male,48,Medium,1,Research Scientist,Medium,Married,5208.0,5348,1,No,12,MISSING,Medium,1,6,2.0,Good,16.0,4,1,1
33.0,Yes,1475,Research & Development,28,College,Life Sciences,Low,Male,97,Medium,2,Laboratory Technician,Low,Single,4174.0,22710,3,No,20,Excellent,Low,0,20,3.0,Better,10.0,3,1,3
28.0,No,896,Sales,6,Bachelor,Life Sciences,Very High,Female,75,High,3,Manager,Very High,Single,2515.0,14674,3,Yes,18,Excellent,High,0,16,4.0,Better,1.0,0,0,0
31.0,No,591,Research & Development,2,Bachelor,Medical,Very High,Male,87,High,1,Research Scientist,Very High,Single,6929.0,6297,2,No,13,Excellent,High,0,6,3.0,Good,8.0,2,1,2
46.0,No,1134,Research & Development,16,Master,Technical Degree,High,Male,37,High,1,Laboratory Technician,Medium,Married,19627.0,12086,9,No,14,Excellent,Medium,1,4,0.0,Better,2.0,2,2,2
30.0,No,264,Sales,9,Bachelor,Marketing,High,Female,59,High,5,Manager,High,Married,2064.0,19519,4,Yes,16,Outstanding,High,1,27,2.0,Better,5.0,0,0,0
27.0,No,996,Research & Development,3,College,Medical,Very High,Male,100,Medium,1,Research Scientist,High,Single,18944.0,10531,1,No,17,Excellent,Low,0,3,3.0,Best,4.0,2,1,0
40.0,Yes,575,Research & Development,3,Below College,Technical Degree,High,Female,73,High,1,Research Scientist,Low,Single,3448.0,6582,0,No,22,Outstanding,High,0,7,2.0,Better,1.0,4,0,4
29.0,No,810,Research & Development,23,Doctor,Life Sciences,Low,Male,44,High,4,Research Director,Very High,Single,3812.0,15901,2,No,14,Excellent,Medium,0,16,3.0,Better,11.0,0,0,0
27.0,No,268,Research & Development,2,Doctor,Medical,Very High,Male,92,High,1,Research Scientist,High,Married,2226.0,20471,6,Yes,13,Excellent,Medium,1,6,3.0,Bad,5.0,0,0,1
46.0,No,161,Research & Development,10,Bachelor,Life Sciences,High,Male,42,Very High,3,Research Director,Very High,Married,8578.0,15471,1,Yes,25,Excellent,Low,1,16,3.0,Better,9.0,11,6,8
36.0,No,1457,Research & Development,7,Bachelor,Medical,Low,Male,83,High,1,Research Scientist,High,Married,4174.0,20100,4,Yes,19,Excellent,High,1,7,3.0,Good,4.0,2,0,2
39.5,No,921,Research & Development,2,Bachelor,Life Sciences,High,Male,96,Very High,3,Healthcare Representative,Very High,Married,9957.0,14810,1,Yes,19,Excellent,Medium,1,9,5.0,Better,6.0,7,6,7
36.0,No,1063,Research & Development,25,Doctor,Medical,Medium,Male,72,High,2,Research Scientist,High,Married,2644.0,23866,3,Yes,15,Outstanding,Low,2,15,3.0,Better,3.0,11,10,7
23.0,No,986,Research & Development,8,Master,Life Sciences,Low,Male,62,Very High,1,Laboratory Technician,Very High,Married,2647.0,5044,2,Yes,24,Excellent,High,1,10,6.0,Good,5.0,2,0,2
50.0,No,1069,Research & Development,2,Below College,Life Sciences,Very High,Male,45,Medium,2,Manufacturing Director,High,Married,19331.0,14074,1,No,17,Excellent,High,0,10,2.0,Good,1.0,9,1,9
37.0,No,667,Research & Development,1,Master,Life Sciences,High,Male,57,High,2,Healthcare Representative,High,Divorced,13664.0,26236,1,No,21,Excellent,Low,1,13,2.0,Good,5.0,12,1,9
22.0,No,555,Research & Development,2,Bachelor,Medical,Medium,Female,78,Medium,2,Laboratory Technician,High,Married,2244.0,13436,6,No,22,Excellent,Medium,1,20,1.0,Better,2.0,0,0,0
40.0,Yes,964,Sales,1,College,Life Sciences,Low,Female,34,Low,2,Sales Executive,Medium,Single,4244.0,12147,6,No,15,Outstanding,Medium,0,10,2.0,Better,8.0,0,0,0
33.0,No,430,Research & Development,1,Master,Medical,Very High,Female,40,High,5,Research Director,Very High,Divorced,4508.0,21445,9,No,17,Outstanding,Very High,2,23,4.0,Better,13.0,2,2,2
40.0,No,1005,Research & Development,2,College,Life Sciences,Very High,Female,79,High,1,Laboratory Technician,Very High,Single,10504.0,11864,0,No,13,Excellent,High,0,8,2.0,Good,5.0,7,3,6
28.0,No,994,Sales,8,Bachelor,Life Sciences,Very High,Male,37,High,3,Sales Executive,High,Single,16834.0,2975,1,No,15,Excellent,Very High,0,9,2.0,Better,8.0,8,1,7
48.0,No,1246,Sales,19,Bachelor,Life Sciences,High,Male,77,Medium,2,Sales Executive,High,Divorced,2064.0,23757,1,No,14,Excellent,High,2,10,2.0,Better,0.0,7,0,4
44.0,No,878,Research & Development,10,Master,Medical,Very High,Male,43,High,1,Research Scientist,High,Divorced,19049.0,5972,1,Yes,17,Excellent,Very High,1,5,1.0,Best,22.0,3,2,0
22.0,No,670,Research & Development,26,Below College,Life Sciences,Low,Male,31,High,1,Research Scientist,High,Divorced,2853.0,15170,1,No,17,Excellent,Very High,1,5,5.0,Good,0.0,2,4,3
60.0,No,921,Research & Development,1,Bachelor,Life Sciences,Very High,Female,38,Low,1,Laboratory Technician,High,Married,2064.0,24375,3,No,21,MISSING,High,2,7,5.0,Better,18.0,2,0,2
29.0,No,691,Research & Development,9,Bachelor,Medical,Very High,Female,57,High,1,Research Scientist,Medium,Divorced,7336.0,5970,6,No,18,Excellent,Very High,1,6,3.0,Bad,11.0,2,2,2
47.0,No,949,Research & Development,1,Bachelor,Technical Degree,Low,Female,81,High,1,Laboratory Technician,Very High,Married,4537.0,4910,4,No,11,Outstanding,Medium,1,7,6.0,Good,7.0,2,0,2
25.0,No,632,Sales,21,Master,Marketing,High,Male,71,High,2,Sales Executive,Very High,Single,5206.0,8423,0,Yes,22,Excellent,Very High,0,11,6.0,Bad,22.5,7,1,0
35.0,No,776,Sales,1,Master,Marketing,High,Male,32,Medium,2,Sales Executive,Low,Single,10903.0,23016,0,No,14,Excellent,Medium,0,16,2.0,Better,13.0,13,2,8
26.0,No,557,Sales,3,Bachelor,Medical,Low,Female,94,Medium,3,Sales Executive,Very High,Married,4157.0,12695,0,No,19,Excellent,High,2,10,2.0,Better,2.0,7,3,4
37.0,No,401,Research & Development,1,Bachelor,Life Sciences,Very High,Male,86,Medium,1,Laboratory Technician,Medium,Married,9525.0,3708,5,No,17,Excellent,Low,1,7,2.0,Good,7.5,4,0,2
35.0,No,832,Research & Development,9,Bachelor,Medical,High,Female,81,High,4,Healthcare Representative,Very High,Married,2977.0,20420,7,No,11,Excellent,High,0,30,5.0,Good,4.0,7,1,1
27.0,No,783,Sales,1,College,Life Sciences,High,Male,42,Medium,2,Sales Executive,Very High,Married,2045.0,19255,1,Yes,12,MISSING,High,1,7,0.0,Better,4.0,7,0,7
30.0,No,1009,Research & Development,2,Bachelor,Life Sciences,Low,Male,51,High,4,Research Director,High,Married,3748.0,2288,6,No,13,Excellent,High,0,26,6.0,Bad,12.0,2,0,1
38.0,No,1351,Research & Development,9,Master,Life Sciences,Low,Male,66,Very High,1,Laboratory Technician,Medium,Married,1702.0,9238,1,No,22,Outstanding,Medium,0,5,3.0,Better,1.0,4,0,2
48.0,No,120,Research & Development,6,Doctor,Life Sciences,High,Male,43,High,1,Research Scientist,High,Single,15202.0,12430,3,No,20,Outstanding,Low,0,8,3.0,Better,2.0,4,1,4
31.0,Yes,708,Sales,7,College,Medical,Very High,Female,95,High,1,Sales Representative,High,Married,4559.0,11740,2,Yes,11,Excellent,High,2,19,2.0,Better,2.0,7,7,7
27.5,No,1336,Human Resources,2,Bachelor,Human Resources,Low,Male,100,High,1,Human Resources,Medium,Divorced,18722.0,7129,5,No,13,MISSING,Very High,3,13,3.0,Better,24.0,10,3,8
33.5,No,557,Research & Development,18,Master,Life Sciences,Very High,Male,35,High,2,Research Scientist,Low,Divorced,12490.0,11189,6,Yes,17,Excellent,High,1,9,5.0,Good,10.0,3,1,2
38.0,No,1124,Sales,1,College,Medical,Medium,Female,57,Low,2,Sales Executive,Very High,Married,5405.0,13273,2,Yes,22,Outstanding,High,3,6,4.0,Good,4.0,3,0,2
40.0,No,979,Research & Development,1,Master,Medical,High,Female,90,Low,2,Manufacturing Director,High,Married,4639.0,4381,0,No,12,Excellent,Very High,1,6,2.0,Better,5.0,4,1,4
40.0,Yes,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,2,Sales Representative,Very High,Married,2064.0,3335,3,No,14,Excellent,High,1,19,3.0,Best,7.0,0,0,0
18.0,No,332,Human Resources,17,Bachelor,Other,Medium,Female,51,Medium,3,Human Resources,Low,Single,16834.0,9769,1,No,13,Excellent,Low,0,10,2.0,Good,0.0,9,0,9
37.0,No,111,Sales,1,College,Life Sciences,Low,Male,70,High,3,Sales Executive,Very High,Married,2996.0,18092,3,No,14,MISSING,Very High,1,24,2.0,Better,6.0,0,1,0
26.0,No,427,Human Resources,10,Master,Human Resources,Medium,Female,73,Medium,5,Manager,Very High,Divorced,2933.0,8861,3,No,15,Excellent,Medium,3,23,3.0,Good,1.0,6,12,6
47.0,No,1404,Sales,20,Bachelor,Technical Degree,High,Male,84,High,1,Sales Representative,Very High,Married,2976.0,18203,1,No,15,Excellent,Medium,1,3,3.0,Better,0.0,1,0,2
36.0,No,465,Research & Development,6,Below College,Life Sciences,High,Male,41,Medium,4,Healthcare Representative,High,Married,2810.0,11652,2,Yes,19,MISSING,Medium,1,30,1.0,Better,5.0,11,2,12
33.0,No,1125,Sales,7,Master,Marketing,Low,Male,68,High,3,Sales Executive,Low,Married,4174.0,8277,2,No,14,Outstanding,Very High,2,9,0.0,Better,2.0,2,2,2
33.0,No,622,Research & Development,2,Master,Life Sciences,High,Female,81,High,2,Healthcare Representative,Very High,Married,3452.0,5718,1,No,13,Excellent,Medium,2,10,4.0,Better,3.0,2,2,2
42.0,No,990,Research & Development,7,Bachelor,Technical Degree,High,Male,64,High,1,Research Scientist,High,Divorced,2759.0,7152,1,No,13,MISSING,Medium,2,1,2.0,Good,2.0,0,0,0
31.0,Yes,261,Research & Development,21,College,Medical,Very High,Male,66,High,2,Healthcare Representative,Medium,Married,4174.0,10842,4,No,22,Excellent,Very High,1,13,3.0,Best,1.0,7,3,7
26.0,No,477,Research & Development,24,Bachelor,Medical,Very High,Male,49,High,1,Laboratory Technician,Medium,Single,2042.0,6409,8,No,22,Excellent,Very High,0,6,3.0,Better,3.0,3,1,2
45.0,No,1221,Sales,7,Bachelor,Marketing,High,Male,96,High,2,Sales Executive,Low,Divorced,6632.0,24795,4,No,11,Excellent,Low,3,15,2.0,Better,8.0,2,2,2
58.0,No,1009,Sales,2,College,Life Sciences,Medium,Female,31,High,2,Sales Executive,Low,Divorced,19701.0,19461,3,No,15,Outstanding,Very High,1,11,3.0,Better,9.0,7,1,7
38.0,No,556,Research & Development,25,College,Life Sciences,Medium,Male,93,Medium,2,Manufacturing Director,Very High,Married,8394.0,23888,0,No,13,Excellent,Very High,2,10,3.0,Good,11.0,8,3,8
35.0,No,548,Research & Development,8,Master,Life Sciences,High,Male,42,High,2,Laboratory Technician,High,Single,7295.0,23428,7,No,11,Excellent,High,0,19,3.0,Better,10.0,0,0,0
