,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,RateIncome,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,FractionYearsAtCompany
84,27.0,No,Sales,1.0,College,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Married,7.623153068476903,138.76238683447326,1.0,Yes,3.4641016151377544,MISSING,High,0.10620618021293177,1.0,0.0,Better,2.6457513110645907,0.5714285714285713
86,38.0,No,Research & Development,3.0,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Medium,Married,7.43955930913332,96.11451503285026,1.0,No,4.69041575982343,Outstanding,Medium,0.18423901277332763,0.0,3.0,Better,2.0,0.2
88,31.0,Yes,Sales,2.6457513110645907,College,Medical,Very High,Female,High,1.0,Sales Representative,High,Married,8.424858580213442,108.35128056465228,1.4142135623730951,Yes,3.3166247903554,Excellent,High,0.38833049403747916,1.4142135623730951,2.0,Better,2.6457513110645907,0.10526315789473684
89,38.0,No,Sales,1.0,College,Medical,Medium,Female,Low,1.4142135623730951,Sales Executive,Very High,Married,8.595079730073309,115.20850663036995,1.4142135623730951,Yes,4.69041575982343,Outstanding,High,0.40721765991109776,1.7320508075688772,4.0,Good,1.7320508075688772,0.6666666666666669
91,40.0,Yes,Sales,2.23606797749979,Bachelor,Technical Degree,Very High,Male,High,1.4142135623730951,Sales Representative,Very High,Married,7.632401126601452,57.749458871923636,1.7320508075688772,No,3.741657386773941,Excellent,High,0.6188905547226378,1.0,3.0,Best,0.0,0.3684210526315789
93,37.0,No,Sales,1.0,College,Life Sciences,Low,Male,High,1.7320508075688772,Sales Executive,Very High,Married,8.005033344637111,134.506505418883,1.7320508075688772,No,3.741657386773941,MISSING,Very High,0.1655980543886802,1.0,2.0,Better,0.0,0.25
94,26.0,No,Human Resources,3.1622776601683795,Master,Human Resources,Medium,Female,Medium,2.23606797749979,Manager,Very High,Divorced,7.983781068977453,94.13288479590963,1.7320508075688772,No,3.8729833462074175,Excellent,Medium,0.3310010156867178,1.7320508075688772,3.0,Good,2.449489742783178,0.043478260869565216
95,47.0,No,Sales,4.47213595499958,Bachelor,Technical Degree,High,Male,High,1.0,Sales Representative,Very High,Married,7.998335395952983,134.9184939139183,1.0,No,3.8729833462074175,Excellent,Medium,0.16348953469208377,1.0,3.0,Better,1.0,0.0
96,36.0,No,Research & Development,2.449489742783178,Below College,Life Sciences,High,Male,Medium,2.0,Healthcare Representative,High,Married,7.940939762327791,107.94443014810908,1.4142135623730951,Yes,4.358898943540674,MISSING,Medium,0.2411603158256093,1.0,1.0,Better,3.3166247903554,0.1666666666666667
97,33.0,No,Sales,2.6457513110645907,Master,Marketing,Low,Male,High,1.7320508075688772,Sales Executive,Low,Married,8.336630087637149,90.97801932335085,1.4142135623730951,No,3.741657386773941,Outstanding,Very High,0.5042889935967151,1.4142135623730951,0.0,Better,1.4142135623730951,0.22222222222222227
98,33.0,No,Research & Development,1.4142135623730951,Master,Life Sciences,High,Female,High,1.4142135623730951,Healthcare Representative,Very High,Married,8.146709052203319,75.61745830163825,1.0,No,3.6055512754639887,Excellent,Medium,0.6037075900664568,1.4142135623730951,4.0,Better,1.4142135623730951,0.29999999999999993
99,31.0,Yes,Research & Development,4.58257569495584,College,Medical,Very High,Male,High,1.4142135623730951,Healthcare Representative,Medium,Married,8.336630087637149,104.12492496996096,2.0,No,4.69041575982343,Excellent,Very High,0.3849843202361199,1.0,3.0,Best,2.6457513110645907,0.07692307692307697
100,26.0,No,Research & Development,4.898979485566356,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,7.621684998724611,80.05623023850173,2.8284271247461903,No,4.69041575982343,Excellent,Very High,0.3186144484318927,0.0,3.0,Better,1.7320508075688772,0.5000000000000001
101,45.0,No,Sales,2.6457513110645907,Bachelor,Marketing,High,Male,High,1.4142135623730951,Sales Executive,Low,Divorced,8.79966169681513,157.46428166412852,2.0,No,3.3166247903554,Excellent,Low,0.26747328090340783,1.7320508075688772,2.0,Better,1.4142135623730951,0.5333333333333332
103,35.0,No,Research & Development,2.8284271247461903,Master,Life Sciences,High,Male,High,1.4142135623730951,Laboratory Technician,High,Single,8.894944460956888,153.0620789091799,2.6457513110645907,No,3.3166247903554,Excellent,High,0.3113795458425819,0.0,3.0,Better,0.0,0.5263157894736841
104,42.0,No,Human Resources,2.0,Bachelor,Life Sciences,High,Female,Low,1.7320508075688772,Human Resources,High,Married,8.424200324567073,81.20960534321048,2.0,No,4.58257569495584,MISSING,High,0.6908263836239574,1.4142135623730951,3.0,Best,0.0,0.5555555555555556
105,41.0,No,Sales,1.4142135623730951,Master,Life Sciences,High,Female,Medium,1.7320508075688772,Sales Executive,High,Married,8.336630087637149,91.60785992479029,2.449489742783178,No,3.3166247903554,Outstanding,Medium,0.49737845567207006,1.0,5.0,Better,2.0,0.3076923076923078
107,32.0,No,Research & Development,3.741657386773941,Bachelor,Medical,High,Male,Medium,2.23606797749979,Research Director,High,Single,8.3133619511344,132.4537655183876,1.0,No,3.741657386773941,Excellent,Low,0.2324441404468763,0.0,3.0,Best,2.6457513110645907,0.14285714285714282
108,38.0,No,Research & Development,4.242640687119285,Bachelor,Medical,Medium,Male,Low,1.4142135623730951,Healthcare Representative,Very High,Married,7.95296679092313,156.6492898164559,1.7320508075688772,Yes,4.0,MISSING,High,0.11589714332287358,1.0,2.0,Better,0.0,0.4666666666666666
109,36.0,No,Research & Development,2.449489742783178,Master,Other,Medium,Male,Medium,2.0,Research Director,Very High,Divorced,7.632401126601452,51.6817182376902,2.0,Yes,3.741657386773941,MISSING,High,0.7727442905278911,1.0,2.0,Good,0.0,0.7619047619047621
110,29.0,No,Research & Development,1.7320508075688772,Master,Life Sciences,High,Male,Medium,1.0,Research Scientist,Very High,Married,7.757906208351747,149.9266487319716,1.7320508075688772,No,4.123105625617661,Excellent,Very High,0.1041017884153394,1.7320508075688772,1.0,Better,0.0,1.0
111,31.0,No,Research & Development,1.0,Master,Other,Very High,Female,High,1.0,Research Scientist,Low,Divorced,8.60813018640834,142.42190842703943,2.23606797749979,No,3.741657386773941,Excellent,High,0.26996647604022894,1.4142135623730951,2.0,Better,1.7320508075688772,1.0
112,45.0,No,Research & Development,4.795831523312719,College,Medical,High,Female,Very High,1.4142135623730951,Laboratory Technician,Very High,Married,8.660254034256889,110.86027241532469,2.0,No,4.123105625617661,Excellent,High,0.4694060211554107,1.0,3.0,Better,1.4142135623730951,0.5882352941176472
113,39.5,No,Sales,1.4142135623730951,Master,Life Sciences,Low,Female,High,1.4142135623730951,Sales Executive,Very High,Married,7.617267813628348,138.729953506804,1.0,No,4.47213595499958,Excellent,High,0.10563233918736371,1.0,3.0,Better,2.6457513110645907,0.14285714285714282
115,44.0,No,Research & Development,2.6457513110645907,Master,Medical,Low,Female,High,1.7320508075688772,Research Director,High,Single,7.606387389772652,158.927656498169,2.0,No,3.6055512754639887,Excellent,Low,0.07961833874416027,0.0,5.0,Best,1.4142135623730951,0.46875
116,27.5,No,Research & Development,4.242640687119285,Master,Life Sciences,Low,Male,High,1.4142135623730951,Manufacturing Director,Very High,Single,7.632401126601452,152.44015219095004,1.4142135623730951,No,4.47213595499958,Excellent,Low,0.08882003614768895,0.0,2.0,Better,3.0,0.11111111111111112
117,45.5,No,Research & Development,3.0,Doctor,Life Sciences,Very High,Male,Medium,1.4142135623730951,Healthcare Representative,Very High,Married,7.798112628829787,119.33985084622823,3.0,No,3.741657386773941,Excellent,Very High,0.17104339278191252,1.0,2.0,Bad,1.4142135623730951,1.0
