,Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
19,33.0,Yes,874,Research & Development,15,Bachelor,Medical,High,Female,72,High,1,Laboratory Technician,High,Married,6284.0,6233,1,No,12,MISSING,High,1,2,2.0,Good,10.0,2,2,2
20,35.0,Yes,654,Research & Development,1,College,Life Sciences,Low,Male,67,Low,1,Research Scientist,Medium,Single,2404.0,3872,7,Yes,13,Excellent,Very High,0,10,2.0,Better,1.0,7,3,7
21,26.0,No,144,Research & Development,22,Bachelor,Life Sciences,Very High,Male,46,Low,1,Laboratory Technician,High,Single,4741.0,19225,0,No,15,Excellent,High,0,6,3.0,Better,5.0,4,4,3
22,31.0,No,991,Research & Development,6,Bachelor,Life Sciences,High,Female,71,High,1,Laboratory Technician,Very High,Married,2302.0,17759,1,Yes,13,Excellent,High,1,3,2.0,Better,3.0,2,0,2
26,55.0,Yes,556,Research & Development,23,College,Life Sciences,Medium,Male,50,Medium,2,Manufacturing Director,High,Married,5415.0,15497,3,Yes,13,Excellent,Low,0,8,4.0,Better,10.0,0,0,1
27,31.0,No,1065,Sales,23,Master,Marketing,Medium,Female,72,High,2,Sales Executive,High,Single,4174.0,10034,0,No,20,Excellent,High,0,10,3.0,Better,1.0,5,8,7
28,30.0,No,1003,Research & Development,2,College,Life Sciences,Very High,Male,95,High,2,Manufacturing Director,High,Single,4115.0,15834,2,No,11,Excellent,Very High,0,5,3.0,Good,4.0,2,0,2
29,27.5,No,1023,Sales,2,Bachelor,Medical,Very High,Male,63,Medium,2,Sales Executive,Medium,Married,1393.0,13243,2,No,14,MISSING,Very High,0,17,2.0,Good,1.0,6,0,8
34,33.5,No,939,Research & Development,24,Bachelor,Life Sciences,Very High,Male,95,High,4,Manufacturing Director,High,Married,2523.0,4161,3,Yes,18,MISSING,Very High,1,22,2.0,Better,2.0,11,1,5
38,31.0,Yes,544,Sales,3,College,Medical,Medium,Female,70,High,1,Sales Representative,Very High,Single,4084.0,18420,1,Yes,12,Excellent,High,0,0,2.0,Best,7.5,0,0,0
40,39.0,No,163,Sales,2,Doctor,Marketing,Medium,Male,37,High,2,Sales Executive,Very High,Married,4108.0,19658,2,No,14,Excellent,Low,1,14,2.0,Better,7.0,7,6,7
45,38.0,No,543,Sales,2,Master,Marketing,High,Male,87,High,2,Sales Executive,Medium,Married,8394.0,3536,7,No,11,Excellent,Very High,1,4,2.0,Bad,1.0,0,0,0
46,36.0,No,1035,Sales,3,Master,Life Sciences,Medium,Male,42,High,2,Sales Executive,Very High,Single,3688.0,4981,8,Yes,12,Excellent,High,0,19,2.0,Better,1.0,0,0,0
47,29.0,No,489,Research & Development,23,Bachelor,Medical,Medium,Male,67,High,2,Laboratory Technician,Medium,Married,4319.0,25043,4,No,12,Excellent,High,1,17,1.0,Best,10.0,2,1,2
49,34.0,No,704,Sales,28,Bachelor,Marketing,Very High,Male,95,Medium,2,Sales Executive,High,Married,4033.0,8978,1,No,21,Excellent,Very High,2,8,3.0,Better,3.0,7,1,7
50,27.5,Yes,666,Research & Development,29,Master,Life Sciences,Low,Female,88,High,3,Manager,Medium,Married,2600.0,10268,1,Yes,12,Excellent,Very High,1,10,2.0,Good,1.0,7,9,9
51,41.0,No,592,Research & Development,7,Bachelor,Life Sciences,Very High,Male,59,High,1,Laboratory Technician,Low,Single,8392.0,19384,3,No,14,Excellent,Medium,0,11,2.0,Better,10.0,2,1,2
55,38.0,No,1107,Research & Development,28,Master,Life Sciences,High,Male,93,High,1,Research Scientist,Very High,Divorced,3944.0,26968,4,No,22,Excellent,Low,1,11,3.0,Better,3.0,5,1,7
56,45.5,Yes,265,Sales,29,College,Medical,Medium,Male,79,Low,2,Sales Executive,Low,Single,3681.0,21813,8,No,18,Excellent,Very High,0,7,2.0,Better,3.0,2,2,2
57,46.0,No,806,Research & Development,1,Master,Life Sciences,Medium,Male,76,Low,1,Research Scientist,Very High,Divorced,9619.0,18959,1,No,18,Excellent,Very High,1,10,3.0,Better,9.0,7,2,8
58,41.0,No,882,Sales,3,Master,Life Sciences,Very High,Male,92,High,3,Sales Executive,Very High,Divorced,2451.0,6812,6,No,13,Excellent,Medium,1,12,2.0,Better,9.0,9,0,8
60,28.0,No,738,Research & Development,9,Doctor,Other,Medium,Male,30,Medium,1,Laboratory Technician,Very High,Single,2706.0,7621,0,No,17,Excellent,High,0,4,3.0,Better,3.0,2,2,2
61,34.0,Yes,303,Sales,27,Bachelor,Life Sciences,High,Female,84,High,2,Sales Executive,Very High,Single,14724.0,13492,1,Yes,18,Excellent,Very High,0,10,3.0,Better,16.0,7,7,7
62,34.0,No,464,Research & Development,16,Bachelor,Medical,Very High,Male,74,High,1,Laboratory Technician,Low,Divorced,3622.0,24941,4,Yes,16,Excellent,Medium,1,17,3.0,Good,6.0,2,2,2
64,33.0,No,124,Research & Development,3,Bachelor,Other,Very High,Male,35,High,2,Healthcare Representative,Medium,Single,5207.0,13848,3,No,15,Excellent,Low,0,8,3.0,Good,15.0,3,0,1
66,44.0,No,170,Research & Development,3,College,Medical,High,Male,76,Medium,2,Laboratory Technician,High,Divorced,3420.0,10302,0,No,15,Excellent,Very High,1,11,3.0,Better,5.0,8,0,7
68,26.0,No,431,Research & Development,7,Master,Medical,Very High,Male,68,High,2,Research Scientist,Very High,Married,5472.0,15696,4,No,15,Excellent,Medium,1,14,2.0,Good,8.0,1,1,7
69,45.0,No,243,Sales,7,Master,Marketing,Very High,Male,46,Medium,2,Sales Executive,Very High,Single,5154.0,7791,0,No,20,MISSING,Low,0,8,3.0,Better,8.0,7,0,5
71,56.0,Yes,370,Research & Development,10,Master,Medical,Very High,Male,58,High,2,Manufacturing Director,Low,Single,11103.0,4992,1,No,15,Excellent,Medium,0,10,1.0,Bad,10.0,3,0,8
72,27.5,No,1136,Research & Development,1,Master,Medical,Medium,Female,81,Very High,4,Research Director,Very High,Divorced,4869.0,12414,2,No,13,Excellent,Very High,2,31,3.0,Best,4.0,7,0,0
75,19.0,No,1480,Research & Development,3,College,Medical,Very High,Male,30,High,1,Laboratory Technician,Medium,Single,2564.0,15062,4,No,12,Excellent,High,0,13,3.0,Good,1.0,7,7,2
76,26.0,Yes,1434,Research & Development,5,Master,Technical Degree,High,Female,50,High,1,Laboratory Technician,High,Single,4174.0,11179,1,Yes,13,Outstanding,High,0,2,2.0,Good,3.0,2,2,2
77,44.0,No,924,Research & Development,2,Bachelor,Medical,High,Male,78,High,1,Laboratory Technician,Very High,Single,2064.0,6670,4,No,11,Outstanding,Very High,0,7,3.0,Better,2.5,1,0,0
78,27.5,Yes,1085,Research & Development,2,Master,Life Sciences,Medium,Male,57,Low,1,Laboratory Technician,Very High,Divorced,2451.0,17725,4,Yes,13,Excellent,High,1,10,3.0,Good,1.0,7,1,0
80,24.0,No,1181,Research & Development,1,Bachelor,Life Sciences,High,Male,82,High,1,Research Scientist,Very High,Married,10504.0,5531,1,No,11,Excellent,High,1,5,2.0,Best,0.0,3,0,3
81,31.0,No,1158,Research & Development,9,Bachelor,Medical,Very High,Male,94,High,1,Research Scientist,Very High,Married,3722.0,2613,1,No,23,Excellent,Very High,1,5,2.0,Good,2.0,2,0,4
82,39.5,No,241,Research & Development,7,Bachelor,Medical,Medium,Male,48,Medium,1,Research Scientist,Medium,Married,5208.0,5348,1,No,12,MISSING,Medium,1,6,2.0,Good,16.0,4,1,1
83,33.0,Yes,1475,Research & Development,28,College,Life Sciences,Low,Male,97,Medium,2,Laboratory Technician,Low,Single,4174.0,22710,3,No,20,Excellent,Low,0,20,3.0,Better,10.0,3,1,3
84,28.0,No,896,Sales,6,Bachelor,Life Sciences,Very High,Female,75,High,3,Manager,Very High,Single,2515.0,14674,3,Yes,18,Excellent,High,0,16,4.0,Better,1.0,0,0,0
85,31.0,No,591,Research & Development,2,Bachelor,Medical,Very High,Male,87,High,1,Research Scientist,Very High,Single,6929.0,6297,2,No,13,Excellent,High,0,6,3.0,Good,8.0,2,1,2
87,30.0,No,264,Sales,9,Bachelor,Marketing,High,Female,59,High,5,Manager,High,Married,2064.0,19519,4,Yes,16,Outstanding,High,1,27,2.0,Better,5.0,0,0,0
89,40.0,Yes,575,Research & Development,3,Below College,Technical Degree,High,Female,73,High,1,Research Scientist,Low,Single,3448.0,6582,0,No,22,Outstanding,High,0,7,2.0,Better,1.0,4,0,4
90,29.0,No,810,Research & Development,23,Doctor,Life Sciences,Low,Male,44,High,4,Research Director,Very High,Single,3812.0,15901,2,No,14,Excellent,Medium,0,16,3.0,Better,11.0,0,0,0
91,27.0,No,268,Research & Development,2,Doctor,Medical,Very High,Male,92,High,1,Research Scientist,High,Married,2226.0,20471,6,Yes,13,Excellent,Medium,1,6,3.0,Bad,5.0,0,0,1
92,46.0,No,161,Research & Development,10,Bachelor,Life Sciences,High,Male,42,Very High,3,Research Director,Very High,Married,8578.0,15471,1,Yes,25,Excellent,Low,1,16,3.0,Better,9.0,11,6,8
93,36.0,No,1457,Research & Development,7,Bachelor,Medical,Low,Male,83,High,1,Research Scientist,High,Married,4174.0,20100,4,Yes,19,Excellent,High,1,7,3.0,Good,4.0,2,0,2
98,37.0,No,667,Research & Development,1,Master,Life Sciences,High,Male,57,High,2,Healthcare Representative,High,Divorced,13664.0,26236,1,No,21,Excellent,Low,1,13,2.0,Good,5.0,12,1,9
99,22.0,No,555,Research & Development,2,Bachelor,Medical,Medium,Female,78,Medium,2,Laboratory Technician,High,Married,2244.0,13436,6,No,22,Excellent,Medium,1,20,1.0,Better,2.0,0,0,0
100,40.0,Yes,964,Sales,1,College,Life Sciences,Low,Female,34,Low,2,Sales Executive,Medium,Single,4244.0,12147,6,No,15,Outstanding,Medium,0,10,2.0,Better,8.0,0,0,0
102,40.0,No,1005,Research & Development,2,College,Life Sciences,Very High,Female,79,High,1,Laboratory Technician,Very High,Single,10504.0,11864,0,No,13,Excellent,High,0,8,2.0,Good,5.0,7,3,6
104,48.0,No,1246,Sales,19,Bachelor,Life Sciences,High,Male,77,Medium,2,Sales Executive,High,Divorced,2064.0,23757,1,No,14,Excellent,High,2,10,2.0,Better,0.0,7,0,4
108,29.0,No,691,Research & Development,9,Bachelor,Medical,Very High,Female,57,High,1,Research Scientist,Medium,Divorced,7336.0,5970,6,No,18,Excellent,Very High,1,6,3.0,Bad,11.0,2,2,2
111,35.0,No,776,Sales,1,Master,Marketing,High,Male,32,Medium,2,Sales Executive,Low,Single,10903.0,23016,0,No,14,Excellent,Medium,0,16,2.0,Better,13.0,13,2,8
112,26.0,No,557,Sales,3,Bachelor,Medical,Low,Female,94,Medium,3,Sales Executive,Very High,Married,4157.0,12695,0,No,19,Excellent,High,2,10,2.0,Better,2.0,7,3,4
113,37.0,No,401,Research & Development,1,Bachelor,Life Sciences,Very High,Male,86,Medium,1,Laboratory Technician,Medium,Married,9525.0,3708,5,No,17,Excellent,Low,1,7,2.0,Good,7.5,4,0,2
117,38.0,No,1351,Research & Development,9,Master,Life Sciences,Low,Male,66,Very High,1,Laboratory Technician,Medium,Married,1702.0,9238,1,No,22,Outstanding,Medium,0,5,3.0,Better,1.0,4,0,2
118,48.0,No,120,Research & Development,6,Doctor,Life Sciences,High,Male,43,High,1,Research Scientist,High,Single,15202.0,12430,3,No,20,Outstanding,Low,0,8,3.0,Better,2.0,4,1,4
119,31.0,Yes,708,Sales,7,College,Medical,Very High,Female,95,High,1,Sales Representative,High,Married,4559.0,11740,2,Yes,11,Excellent,High,2,19,2.0,Better,2.0,7,7,7
123,40.0,No,979,Research & Development,1,Master,Medical,High,Female,90,Low,2,Manufacturing Director,High,Married,4639.0,4381,0,No,12,Excellent,Very High,1,6,2.0,Better,5.0,4,1,4
124,40.0,Yes,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,2,Sales Representative,Very High,Married,2064.0,3335,3,No,14,Excellent,High,1,19,3.0,Best,7.0,0,0,0
126,37.0,No,111,Sales,1,College,Life Sciences,Low,Male,70,High,3,Sales Executive,Very High,Married,2996.0,18092,3,No,14,MISSING,Very High,1,24,2.0,Better,6.0,0,1,0
128,47.0,No,1404,Sales,20,Bachelor,Technical Degree,High,Male,84,High,1,Sales Representative,Very High,Married,2976.0,18203,1,No,15,Excellent,Medium,1,3,3.0,Better,0.0,1,0,2
129,36.0,No,465,Research & Development,6,Below College,Life Sciences,High,Male,41,Medium,4,Healthcare Representative,High,Married,2810.0,11652,2,Yes,19,MISSING,Medium,1,30,1.0,Better,5.0,11,2,12
131,33.0,No,622,Research & Development,2,Master,Life Sciences,High,Female,81,High,2,Healthcare Representative,Very High,Married,3452.0,5718,1,No,13,Excellent,Medium,2,10,4.0,Better,3.0,2,2,2
132,42.0,No,990,Research & Development,7,Bachelor,Technical Degree,High,Male,64,High,1,Research Scientist,High,Divorced,2759.0,7152,1,No,13,MISSING,Medium,2,1,2.0,Good,2.0,0,0,0
133,31.0,Yes,261,Research & Development,21,College,Medical,Very High,Male,66,High,2,Healthcare Representative,Medium,Married,4174.0,10842,4,No,22,Excellent,Very High,1,13,3.0,Best,1.0,7,3,7
134,26.0,No,477,Research & Development,24,Bachelor,Medical,Very High,Male,49,High,1,Laboratory Technician,Medium,Single,2042.0,6409,8,No,22,Excellent,Very High,0,6,3.0,Better,3.0,3,1,2
137,38.0,No,556,Research & Development,25,College,Life Sciences,Medium,Male,93,Medium,2,Manufacturing Director,Very High,Married,8394.0,23888,0,No,13,Excellent,Very High,2,10,3.0,Good,11.0,8,3,8
138,35.0,No,548,Research & Development,8,Master,Life Sciences,High,Male,42,High,2,Laboratory Technician,High,Single,7295.0,23428,7,No,11,Excellent,High,0,19,3.0,Better,10.0,0,0,0
139,42.0,No,176,Human Resources,4,Bachelor,Life Sciences,High,Female,56,Low,3,Human Resources,High,Married,4556.0,6595,4,No,21,MISSING,High,2,9,3.0,Best,5.0,0,0,3
142,32.0,No,1308,Research & Development,14,Bachelor,Medical,High,Male,44,Medium,5,Research Director,High,Single,4078.0,17544,1,No,14,Excellent,Low,0,21,3.0,Best,3.0,7,4,9
143,38.0,No,833,Research & Development,18,Bachelor,Medical,Medium,Male,60,Low,2,Healthcare Representative,Very High,Married,2844.0,24539,3,Yes,16,MISSING,High,1,15,2.0,Better,7.0,0,1,0
144,36.0,No,782,Research & Development,6,Master,Other,Medium,Male,50,Medium,4,Research Director,Very High,Divorced,2064.0,2671,4,Yes,14,MISSING,High,1,21,2.0,Good,16.0,0,0,0
147,31.0,No,560,Research & Development,1,Master,Other,Very High,Female,91,High,1,Research Scientist,Low,Divorced,5476.0,20284,5,No,14,Excellent,High,2,10,2.0,Better,10.0,3,1,3
148,45.0,No,884,Research & Development,23,College,Medical,High,Female,41,Very High,2,Laboratory Technician,Very High,Married,5769.0,12290,4,No,17,Excellent,High,1,17,3.0,Better,10.0,2,0,3
149,27.5,Yes,638,Sales,9,Bachelor,Marketing,Very High,Male,33,High,1,Sales Representative,Low,Married,2269.0,26956,1,No,19,Excellent,Low,1,1,2.0,Good,2.0,0,1,0
150,39.5,No,1422,Sales,2,Master,Life Sciences,Low,Female,92,High,2,Sales Executive,Very High,Married,2033.0,19246,1,No,20,Excellent,High,1,7,3.0,Better,1.0,7,7,7
154,27.5,No,217,Research & Development,18,Master,Life Sciences,Low,Male,78,High,2,Manufacturing Director,Very High,Single,2064.0,23238,2,No,20,Excellent,Low,0,18,2.0,Better,2.0,9,0,9
158,33.5,Yes,769,Sales,9,Bachelor,Marketing,Very High,Female,54,High,1,Sales Representative,Very High,Single,7945.0,17205,1,Yes,14,Excellent,Medium,0,2,2.0,Better,4.0,2,0,2
159,34.0,Yes,740,Sales,1,Bachelor,Life Sciences,Medium,Male,64,Medium,2,Sales Executive,Low,Married,8394.0,5323,1,No,11,Excellent,Very High,1,10,4.0,Better,15.0,8,6,7
160,25.0,No,544,Human Resources,2,Below College,Technical Degree,High,Male,52,High,1,Human Resources,High,Divorced,4256.0,24017,0,Yes,11,Excellent,High,1,4,1.0,Better,5.0,2,1,0
161,26.0,No,1040,Research & Development,2,College,Life Sciences,High,Male,100,Medium,2,Healthcare Representative,Very High,Divorced,5296.0,15850,5,No,14,Excellent,Very High,1,17,3.0,Best,8.0,0,0,0
162,34.0,No,458,Research & Development,26,Doctor,Medical,Low,Male,60,High,3,Research Director,Low,Married,3737.0,23281,3,Yes,17,Excellent,High,0,20,1.0,Better,3.0,0,0,0
164,35.0,No,1444,Human Resources,1,Master,Other,Very High,Female,88,High,1,Human Resources,Medium,Married,2430.0,5224,0,Yes,11,MISSING,Medium,1,7,3.0,Better,5.0,2,1,2
166,38.0,No,933,Sales,1,Bachelor,Life Sciences,High,Female,57,High,2,Sales Executive,High,Married,2064.0,20156,1,No,17,Excellent,Medium,1,8,4.0,Better,10.0,7,7,7
171,29.0,No,1427,Research & Development,2,Below College,Medical,Medium,Male,35,Medium,1,Laboratory Technician,Very High,Single,8394.0,11162,0,No,13,Outstanding,Very High,0,6,3.0,Better,10.0,3,1,2
172,37.0,No,654,Sales,21,Bachelor,Marketing,High,Male,43,Very High,1,Sales Representative,Very High,Single,4174.0,5050,1,No,17,Excellent,Very High,0,2,3.0,Better,0.0,1,2,2
173,51.0,No,650,Research & Development,9,Below College,Medical,Medium,Male,37,High,1,Laboratory Technician,Low,Married,10650.0,4344,1,No,14,MISSING,Very High,1,5,2.0,Best,4.0,3,0,2
174,24.0,No,325,Research & Development,5,Bachelor,Medical,Medium,Female,74,High,2,Manufacturing Director,Low,Single,4162.0,3787,0,No,19,Excellent,Medium,0,10,3.0,Better,5.0,4,1,7
175,54.0,No,1236,Research & Development,1,Master,Life Sciences,Very High,Female,40,Medium,4,Manager,Low,Married,6854.0,17997,7,No,11,Excellent,Low,1,21,2.0,Bad,7.0,2,0,2
176,33.5,No,786,Research & Development,7,Bachelor,Medical,Very High,Male,76,High,1,Laboratory Technician,Very High,Single,2064.0,11925,1,No,20,MISSING,High,0,7,3.0,Better,10.0,7,5,7
177,27.0,Yes,1362,Sales,19,Bachelor,Marketing,Low,Male,67,Very High,2,Sales Executive,Very High,Single,5071.0,4652,8,Yes,13,Outstanding,Medium,0,9,3.0,Good,6.0,2,0,4
183,26.0,No,498,Research & Development,3,Master,Medical,High,Female,93,High,2,Manufacturing Director,Low,Married,2659.0,13554,1,No,12,Excellent,High,1,8,2.0,Best,3.0,7,6,3
186,42.0,No,883,Sales,26,Below College,Medical,High,Female,32,High,2,Sales Executive,Very High,Single,6062.0,22807,1,No,23,Excellent,Medium,0,6,4.0,Good,4.0,5,1,4
187,27.0,No,898,Human Resources,6,College,Medical,High,Female,38,High,4,Manager,Very High,Single,9981.0,17381,1,Yes,21,Excellent,Very High,0,21,2.0,Better,7.0,7,7,7
188,33.0,No,1476,Research & Development,16,College,Medical,Medium,Female,68,Very High,2,Healthcare Representative,Low,Single,2064.0,4824,0,No,19,Excellent,High,0,9,2.0,Better,2.0,3,0,7
189,50.0,No,1469,Research & Development,8,Master,Life Sciences,Medium,Female,81,Medium,3,Research Director,Medium,Married,10504.0,15736,5,No,16,Excellent,Very High,2,16,2.0,Bad,3.0,9,4,7
191,45.0,No,365,Research & Development,4,Doctor,Medical,High,Male,89,Medium,4,Manager,Very High,Married,2177.0,5602,2,No,25,Excellent,Medium,1,23,3.0,Better,6.0,2,2,2
192,49.0,No,304,Sales,9,Master,Life Sciences,Medium,Male,92,High,2,Sales Executive,Very High,Single,5390.0,20750,1,No,16,Excellent,Very High,0,7,3.0,Better,9.0,5,0,7
194,39.0,No,362,Research & Development,1,Below College,Life Sciences,High,Female,43,High,1,Research Scientist,Low,Single,6284.0,14561,3,No,17,Excellent,Very High,0,8,2.0,Good,9.0,0,0,0
195,34.0,No,797,Research & Development,4,Below College,Life Sciences,Low,Female,96,High,5,Research Director,Medium,Divorced,2064.0,15815,3,No,14,Excellent,Low,2,28,3.0,Good,5.0,4,1,6
196,28.0,Yes,1449,Research & Development,16,Master,Medical,Low,Male,45,High,1,Laboratory Technician,Medium,Divorced,2154.0,14180,2,Yes,13,Excellent,Very High,1,5,2.0,Better,4.0,2,0,2
197,42.0,No,984,Research & Development,1,Below College,Technical Degree,Very High,Female,70,Medium,1,Research Scientist,Medium,Single,3673.0,25326,1,Yes,11,Excellent,High,0,2,3.0,Best,12.0,2,2,2
198,37.0,No,1476,Sales,4,Below College,Medical,Very High,Female,42,High,2,Sales Executive,High,Married,3022.0,15211,1,Yes,12,Outstanding,High,2,5,1.0,Better,2.5,4,0,3
200,37.0,No,945,Research & Development,22,Bachelor,Medical,Very High,Female,82,High,3,Manufacturing Director,Low,Single,13744.0,5083,1,Yes,13,Outstanding,High,0,21,2.0,Better,16.0,6,2,8
202,25.0,No,1291,Sales,11,Bachelor,Medical,High,Male,98,Very High,1,Sales Representative,Very High,Married,4174.0,6527,8,No,14,Excellent,Medium,1,5,3.0,Better,7.0,0,0,0
206,36.0,No,982,Research & Development,12,Bachelor,Life Sciences,Low,Male,59,Medium,4,Research Director,Medium,Divorced,6201.0,4345,1,No,11,Excellent,High,1,25,1.0,Better,18.0,10,3,9
207,22.0,No,950,Research & Development,7,Bachelor,Other,High,Male,59,High,3,Manufacturing Director,High,Single,4775.0,18869,3,No,21,MISSING,Medium,0,17,3.0,Best,2.0,5,1,6
208,28.0,No,1451,Research & Development,2,Below College,Life Sciences,Low,Male,67,Medium,1,Research Scientist,Medium,Married,3201.0,19911,0,No,17,Excellent,Low,0,6,2.0,Bad,5.0,3,0,4
209,39.5,No,1125,Research & Development,1,Bachelor,Life Sciences,Very High,Female,48,Low,2,Research Scientist,Low,Married,8394.0,5771,1,No,21,Excellent,Medium,0,10,2.0,Better,8.0,8,8,7
210,38.0,No,1394,Research & Development,8,Bachelor,Medical,Very High,Male,58,Medium,2,Research Scientist,Medium,Divorced,7351.0,18115,1,Yes,16,Excellent,High,1,20,2.0,Better,1.0,11,0,7
213,29.0,No,662,Sales,1,Doctor,Marketing,High,Male,94,High,3,Sales Executive,Medium,Married,11935.0,11439,1,No,13,Excellent,Low,2,10,2.0,Better,10.0,8,0,6
215,44.0,No,426,Research & Development,10,Master,Life Sciences,High,Male,42,Very High,2,Manufacturing Director,Very High,Divorced,2064.0,17000,1,No,13,Excellent,Low,1,9,2.0,Better,2.5,7,7,2
216,53.0,No,713,Research & Development,8,Bachelor,Life Sciences,High,Female,67,High,1,Research Scientist,Low,Divorced,12965.0,13939,4,Yes,18,MISSING,High,1,19,2.0,Better,3.0,2,2,2
217,33.5,No,821,Research & Development,5,College,Medical,Low,Male,86,High,5,Research Director,Low,Married,4403.0,8509,4,No,11,Excellent,High,1,24,3.0,Good,5.0,2,1,2
219,37.0,No,711,Research & Development,4,Bachelor,Medical,Low,Male,81,High,2,Manufacturing Director,High,Single,6347.0,3140,0,No,13,Excellent,Very High,0,10,2.0,Bad,6.0,2,3,8
220,50.0,No,482,Research & Development,3,Bachelor,Other,High,Male,36,High,3,Manufacturing Director,High,Married,4174.0,9606,1,No,15,MISSING,High,1,10,3.0,Better,3.0,7,7,8
222,25.0,No,920,Research & Development,3,Bachelor,Life Sciences,High,Male,96,Low,5,Research Director,Very High,Married,2413.0,18625,3,No,14,Excellent,Medium,1,25,2.0,Better,1.0,7,0,7
223,33.0,No,841,Research & Development,6,Bachelor,Other,High,Male,46,Medium,1,Research Scientist,Medium,Married,4174.0,23300,1,No,19,Excellent,High,0,5,2.0,Good,10.0,4,4,3
225,45.0,No,1142,Research & Development,8,College,Life Sciences,Very High,Male,72,High,2,Healthcare Representative,Very High,Divorced,6284.0,8841,3,Yes,18,Excellent,High,0,8,2.0,Better,6.0,2,2,2
227,25.0,No,1305,Research & Development,10,Master,Life Sciences,High,Male,49,High,2,Manufacturing Director,Medium,Single,4851.0,21123,2,Yes,12,Outstanding,Very High,0,18,2.0,Good,3.0,0,0,1
228,35.0,Yes,1474,Sales,11,Master,Other,Very High,Male,60,Very High,2,Sales Executive,High,Married,2064.0,23914,8,No,12,Excellent,Very High,0,6,3.0,Better,6.0,2,1,2
229,22.0,No,944,Sales,1,Bachelor,Marketing,High,Male,92,High,3,Sales Executive,High,Single,2472.0,9096,1,No,14,MISSING,Low,0,10,2.0,Best,1.0,7,0,8
230,34.0,No,1171,Research & Development,10,Master,Life Sciences,Very High,Male,46,Very High,1,Laboratory Technician,High,Married,4724.0,22495,3,Yes,13,Excellent,High,1,10,3.0,Better,9.0,7,1,7
231,57.5,No,696,Sales,7,Master,Marketing,Medium,Female,52,Very High,2,Sales Executive,Very High,Divorced,2886.0,10893,0,Yes,18,Excellent,Medium,1,12,4.0,Better,6.0,7,1,9
232,34.0,No,703,Sales,14,Master,Marketing,Very High,Male,42,High,2,Sales Executive,Low,Single,5484.0,11825,2,No,12,Excellent,Very High,0,20,3.0,Better,2.0,7,1,7
