Unnamed: 0,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,40.0,No,Research & Development,3.1622776601683795,Bachelor,Life Sciences,Very High,Male,Medium,2.23606797749979,Research Director,Medium,Married,9.874882295525794,116.54612820681776,2.0,No,3.4641016151377544,Excellent,Very High,0.0,5.385164807134505,5.0,Better,4.58257569495584,3.1622776601683795,3.4641016151377544,3.0
25,51.0,No,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Married,9.895808141192257,99.3327740476425,2.6457513110645907,No,3.8729833462074175,MISSING,Very High,1.4142135623730951,4.358898943540674,5.0,Best,5.385164807134505,3.3166247903554,1.4142135623730951,3.0
26,55.0,Yes,Research & Development,4.795831523312719,College,Life Sciences,Medium,Male,Medium,1.4142135623730951,Manufacturing Director,High,Married,8.596928159435091,124.4869471069156,1.7320508075688772,Yes,3.6055512754639887,Excellent,Low,0.0,2.8284271247461903,4.0,Better,3.1622776601683795,0.0,0.0,1.0
27,31.0,No,Sales,4.795831523312719,Master,Marketing,Medium,Female,High,1.4142135623730951,Sales Executive,High,Single,8.336630087637149,100.16985574512924,0.0,No,4.47213595499958,Excellent,High,0.0,3.1622776601683795,3.0,Better,1.0,2.23606797749979,2.8284271247461903,2.6457513110645907
28,30.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Male,High,1.4142135623730951,Manufacturing Director,High,Single,8.32239411311117,125.83322295800899,1.4142135623730951,No,3.3166247903554,Excellent,Very High,0.0,2.23606797749979,3.0,Good,2.0,1.4142135623730951,0.0,1.4142135623730951
29,27.5,No,Sales,1.4142135623730951,Bachelor,Medical,Very High,Male,Medium,1.4142135623730951,Sales Executive,Medium,Married,7.239214973779807,115.0782342582645,1.4142135623730951,No,3.7416573867739413,MISSING,Very High,0.0,4.123105625617661,2.0,Good,1.0,2.449489742783178,0.0,2.8284271247461903
30,55.0,No,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,1.0,Laboratory Technician,Very High,Divorced,9.885119895177944,95.64517760974674,0.0,No,3.4641016151377544,Excellent,Medium,1.0,2.0,0.0,Better,3.1622776601683795,0.0,0.0,1.4142135623730951
31,53.0,No,Research & Development,2.23606797749979,Bachelor,Life Sciences,Very High,Female,Medium,1.7320508075688772,Healthcare Representative,Very High,Divorced,9.831239388328504,145.65026604850402,2.0,No,3.8729833462074175,Excellent,High,1.0,3.0,6.0,Better,2.6457513110645907,1.4142135623730951,1.0,1.4142135623730951
32,36.0,No,Research & Development,1.4142135623730951,Master,Life Sciences,Very High,Male,Medium,1.0,Research Scientist,High,Divorced,8.50532301884575,91.73875952943771,1.7320508075688772,No,3.4641016151377544,Outstanding,High,1.0,3.7416573867739413,0.0,Better,1.7320508075688772,1.7320508075688772,2.23606797749979,2.6457513110645907
33,57.5,No,Research & Development,3.1622776601683795,Bachelor,Other,High,Female,High,1.4142135623730951,Research Scientist,High,Single,8.80492526261806,88.9325587172662,1.7320508075688772,No,3.6055512754639887,Excellent,Very High,0.0,3.1622776601683795,6.0,Best,2.23606797749979,2.6457513110645907,1.0,2.6457513110645907
34,33.5,No,Research & Development,4.898979485566356,Bachelor,Life Sciences,Very High,Male,High,2.0,Manufacturing Director,High,Married,7.833203948641058,64.50581369148055,1.7320508075688772,Yes,4.242640687119285,MISSING,Very High,1.0,4.69041575982343,2.0,Better,1.4142135623730951,3.3166247903554,1.0,2.23606797749979
35,35.0,No,Research & Development,2.0,College,Life Sciences,Low,Female,High,1.0,Research Scientist,High,Divorced,8.434028950155469,56.63920903402519,1.0,No,3.3166247903554,Excellent,Medium,1.7320508075688772,2.23606797749979,2.0,Better,1.5811388300841898,1.7320508075688772,0.0,1.7320508075688772
36,31.0,Yes,Sales,2.23606797749979,Bachelor,Life Sciences,Medium,Male,High,1.7320508075688772,Sales Executive,Medium,Single,7.749753406274438,146.74467622370497,3.0,Yes,4.358898943540674,Outstanding,High,0.0,3.1622776601683795,0.0,Good,1.7320508075688772,2.6457513110645907,2.6457513110645907,2.6457513110645907
37,55.0,Yes,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Low,Male,Low,1.4142135623730951,Laboratory Technician,High,Single,9.524786081697178,151.28450019747558,1.0,Yes,4.898979485566356,Excellent,Very High,0.0,3.0,5.0,Better,4.358898943540674,2.6457513110645907,0.0,2.449489742783178
38,31.0,Yes,Sales,1.7320508075688772,College,Medical,Medium,Female,High,1.0,Sales Representative,Very High,Single,8.314832179284558,135.72030061858834,1.0,Yes,3.4641016151377544,Excellent,High,0.0,0.0,2.0,Best,2.7386127875258306,0.0,0.0,0.0
39,27.0,No,Sales,3.1622776601683795,Master,Medical,Very High,Male,High,2.0,Sales Executive,High,Single,8.019941687677365,156.2337991601049,0.0,No,3.6055512754639887,Excellent,High,0.0,6.164414002968978,6.0,Good,2.0,3.1622776601683795,1.0,2.8284271247461903
40,39.0,No,Sales,1.4142135623730951,Doctor,Marketing,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Married,8.320691571048451,140.20698984002192,1.4142135623730951,No,3.7416573867739413,Excellent,Low,1.0,3.7416573867739413,2.0,Better,2.6457513110645907,2.6457513110645907,2.449489742783178,2.6457513110645907
41,55.0,No,Research & Development,1.4142135623730951,Master,Medical,Medium,Male,High,2.23606797749979,Research Director,High,Married,9.854559878912703,113.37107214805724,1.4142135623730951,Yes,3.3166247903554,Excellent,Very High,1.0,5.385164807134505,2.0,Good,6.0,1.0,2.6457513110645907,2.6457513110645907
42,47.0,No,Research & Development,1.4142135623730951,Master,Medical,Low,Male,High,2.0,Research Director,High,Married,7.632401126601452,163.41052597675585,1.7320508075688772,No,4.358898943540674,Excellent,Medium,1.4142135623730951,5.0990195135927845,3.0,Best,2.23606797749979,4.123105625617661,2.23606797749979,2.449489742783178
43,33.5,Yes,Sales,2.0,Bachelor,Technical Degree,Very High,Male,High,1.7320508075688772,Sales Executive,Low,Single,9.570529135214713,101.65136496870072,0.0,Yes,4.69041575982343,Excellent,Low,0.0,3.0,3.0,Better,5.0,2.6457513110645907,2.0,2.6457513110645907
44,51.0,Yes,Research & Development,1.7320508075688772,Master,Life Sciences,High,Female,Medium,1.0,Research Scientist,Very High,Married,9.699349742461278,64.98461356351979,0.0,Yes,3.3166247903554,Excellent,Medium,1.0,1.0,2.0,Better,4.47213595499958,0.0,0.0,0.0
45,38.0,No,Sales,1.4142135623730951,Master,Marketing,High,Male,High,1.4142135623730951,Sales Executive,Medium,Married,9.035272443893538,59.464274989274024,2.6457513110645907,No,3.3166247903554,Excellent,Very High,1.0,2.0,2.0,Bad,1.0,0.0,0.0,0.0
46,36.0,No,Sales,1.7320508075688772,Master,Life Sciences,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Single,8.212839584676484,70.57619995437554,2.8284271247461903,Yes,3.4641016151377544,Excellent,High,0.0,4.358898943540674,2.0,Better,1.0,0.0,0.0,0.0
47,29.0,No,Research & Development,4.795831523312719,Bachelor,Medical,Medium,Male,High,1.4142135623730951,Laboratory Technician,Medium,Married,8.3707791729607,158.24980252752292,2.0,No,3.4641016151377544,Excellent,High,1.0,4.123105625617661,1.0,Best,3.1622776601683795,1.4142135623730951,1.0,1.4142135623730951
48,42.0,No,Research & Development,1.0,Below College,Technical Degree,High,Female,Medium,1.4142135623730951,Manufacturing Director,Low,Married,9.48729005784892,98.38190890605854,2.23606797749979,No,4.358898943540674,Excellent,High,1.0,2.449489742783178,6.0,Better,1.0,1.4142135623730951,1.4142135623730951,0.0
49,34.0,No,Sales,5.291502622129181,Bachelor,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,High,Married,8.302265794873367,94.75230867899737,1.0,No,4.58257569495584,Excellent,Very High,1.4142135623730951,2.8284271247461903,3.0,Better,1.7320508075688772,2.6457513110645907,1.0,2.6457513110645907
50,27.5,Yes,Research & Development,5.385164807134505,Master,Life Sciences,Low,Female,High,1.7320508075688772,Manager,Medium,Married,7.863266724009573,101.3311403271472,1.0,Yes,3.4641016151377544,Excellent,Very High,1.0,3.1622776601683795,2.0,Good,1.0,2.6457513110645907,3.0,3.0
51,41.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Very High,Male,High,1.0,Laboratory Technician,Low,Single,9.035034150076132,139.22643427165693,1.7320508075688772,No,3.7416573867739413,Excellent,Medium,0.0,3.3166247903554,2.0,Better,3.1622776601683795,1.4142135623730951,1.0,1.4142135623730951
52,35.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Manager,Low,Married,9.112617283447568,62.08059278067503,2.23606797749979,No,3.3166247903554,Outstanding,Very High,0.0,5.744562646538029,2.0,Bad,3.0,2.8284271247461903,3.3166247903554,3.1622776601683795
53,51.5,Yes,Research & Development,3.4641016151377544,Bachelor,Technical Degree,Medium,Male,High,2.23606797749979,Research Director,High,Married,9.442562587223595,127.59310326189264,1.0,No,3.4641016151377544,MISSING,Very High,0.0,4.795831523312719,6.0,Better,1.0,3.8729833462074175,3.8729833462074175,2.8284271247461903
54,48.0,No,Research & Development,5.385164807134505,Master,Other,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Single,9.305559638557117,88.0,1.0,No,5.0,MISSING,Medium,0.0,4.47213595499958,3.0,Better,3.8729833462074175,3.3166247903554,3.6055512754639887,4.123105625617661
55,38.0,No,Research & Development,5.291502622129181,Master,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Divorced,8.279950715722526,164.21936548409874,2.0,No,4.69041575982343,Excellent,Low,1.0,3.3166247903554,3.0,Better,1.7320508075688772,2.23606797749979,1.0,2.6457513110645907
56,45.5,Yes,Sales,5.385164807134505,College,Medical,Medium,Male,Low,1.4142135623730951,Sales Executive,Low,Single,8.210939733379021,147.69224759614158,2.8284271247461903,No,4.242640687119285,Excellent,Very High,0.0,2.6457513110645907,2.0,Better,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951
57,46.0,No,Research & Development,1.0,Master,Life Sciences,Medium,Male,Low,1.0,Research Scientist,Very High,Divorced,9.171495588152617,137.69168457100088,1.0,No,4.242640687119285,Excellent,Very High,1.0,3.1622776601683795,3.0,Better,3.0,2.6457513110645907,1.4142135623730951,2.8284271247461903
58,41.0,No,Sales,1.7320508075688772,Master,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,Very High,Divorced,7.804251383528112,82.5348411278534,2.449489742783178,No,3.6055512754639887,Excellent,Medium,1.0,3.4641016151377544,2.0,Better,3.0,3.0,0.0,2.8284271247461903
59,36.0,No,Sales,3.1622776601683795,Bachelor,Medical,High,Male,Medium,1.4142135623730951,Sales Executive,High,Single,8.721602344674197,153.0130713370593,3.0,No,3.3166247903554,MISSING,High,0.0,2.8284271247461903,3.0,Better,1.4142135623730951,1.4142135623730951,1.0,2.0
60,28.0,No,Research & Development,3.0,Doctor,Other,Medium,Male,Medium,1.0,Laboratory Technician,Very High,Single,7.903226808730732,87.29833904490967,0.0,No,4.123105625617661,Excellent,High,0.0,2.0,3.0,Better,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951
61,34.0,Yes,Sales,5.196152422706632,Bachelor,Life Sciences,High,Female,High,1.4142135623730951,Sales Executive,Very High,Single,9.597234094498912,116.15506876585285,1.0,Yes,4.242640687119285,Excellent,Very High,0.0,3.1622776601683795,3.0,Better,4.0,2.6457513110645907,2.6457513110645907,2.6457513110645907
62,34.0,No,Research & Development,4.0,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Low,Divorced,8.194781638443361,157.9271984174987,2.0,Yes,4.0,Excellent,Medium,1.0,4.123105625617661,3.0,Good,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951
63,56.0,No,Research & Development,4.58257569495584,Bachelor,Life Sciences,Medium,Female,Very High,1.0,Research Scientist,Low,Married,9.900633483553221,151.58166115991736,1.0,Yes,3.4641016151377544,MISSING,Low,1.0,2.8284271247461903,2.0,Good,2.23606797749979,2.6457513110645907,1.0,2.6457513110645907
64,33.0,No,Research & Development,1.7320508075688772,Bachelor,Other,Very High,Male,High,1.4142135623730951,Healthcare Representative,Medium,Single,8.557759153162898,117.67752546684521,1.7320508075688772,No,3.8729833462074175,Excellent,Low,0.0,2.8284271247461903,3.0,Good,3.8729833462074175,1.7320508075688772,0.0,1.0
65,41.0,No,Research & Development,3.4641016151377544,Below College,Medical,High,Male,High,1.0,Research Scientist,Very High,Married,8.724369949208366,83.57032966310472,2.8284271247461903,Yes,4.795831523312719,Excellent,High,1.0,2.6457513110645907,4.0,Better,4.358898943540674,1.4142135623730951,0.0,1.4142135623730951
66,44.0,No,Research & Development,1.7320508075688772,College,Medical,High,Male,Medium,1.4142135623730951,Laboratory Technician,High,Divorced,8.13739583005665,101.49876846543509,0.0,No,3.8729833462074175,Excellent,Very High,1.0,3.3166247903554,3.0,Better,2.23606797749979,2.8284271247461903,0.0,2.6457513110645907
67,21.0,No,Sales,1.7320508075688772,Bachelor,Medical,Very High,Male,High,2.0,Sales Executive,High,Divorced,8.044626279767337,101.11874208078342,3.0,Yes,3.4641016151377544,Excellent,Very High,1.4142135623730951,5.291502622129181,2.0,Good,1.4142135623730951,1.4142135623730951,3.3166247903554,3.6055512754639887
68,26.0,No,Research & Development,2.6457513110645907,Master,Medical,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Married,8.607399459302387,125.28367810692659,2.0,No,3.8729833462074175,Excellent,Medium,1.0,3.7416573867739413,2.0,Good,2.8284271247461903,1.0,1.0,2.6457513110645907
69,45.0,No,Sales,2.6457513110645907,Master,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Single,8.54752839121231,88.26664149042944,0.0,No,4.47213595499958,MISSING,Low,0.0,2.8284271247461903,3.0,Better,2.8284271247461903,2.6457513110645907,0.0,2.23606797749979
70,48.0,No,Research & Development,2.8284271247461903,College,Medical,High,Male,Very High,1.4142135623730951,Research Scientist,High,Married,9.812741939229383,148.86906999104946,2.23606797749979,No,3.4641016151377544,MISSING,High,1.0,3.0,2.0,Good,1.0,1.7320508075688772,1.0,1.7320508075688772
71,56.0,Yes,Research & Development,3.1622776601683795,Master,Medical,Very High,Male,High,1.4142135623730951,Manufacturing Director,Low,Single,9.314970621054263,70.65408693062278,1.0,No,3.8729833462074175,Excellent,Medium,0.0,3.1622776601683795,1.0,Bad,3.1622776601683795,1.7320508075688772,0.0,2.8284271247461903
72,27.5,No,Research & Development,1.0,Master,Medical,Medium,Female,Very High,2.0,Research Director,Very High,Divorced,8.4906438561827,111.41813137905338,1.4142135623730951,No,3.6055512754639887,Excellent,Very High,1.4142135623730951,5.5677643628300215,3.0,Best,2.0,2.6457513110645907,0.0,0.0
73,27.5,No,Research & Development,3.6055512754639887,Bachelor,Medical,Low,Male,High,1.4142135623730951,Research Scientist,Very High,Married,7.614805364711072,55.05451843400322,1.0,No,4.123105625617661,Excellent,Low,0.0,3.1622776601683795,6.0,Better,3.7416573867739413,2.8284271247461903,1.7320508075688772,2.6457513110645907
74,34.0,No,Sales,2.23606797749979,Below College,Medical,High,Male,High,1.0,Sales Representative,Low,Single,9.73115592977152,159.62142713307634,1.0,Yes,3.3166247903554,MISSING,Very High,0.0,1.4142135623730951,2.0,Better,2.0,1.4142135623730951,1.0,1.4142135623730951
75,19.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,7.8493238180405625,122.72734006732159,2.0,No,3.4641016151377544,Excellent,High,0.0,3.6055512754639887,3.0,Good,1.0,2.6457513110645907,2.6457513110645907,1.4142135623730951
76,26.0,Yes,Research & Development,2.23606797749979,Master,Technical Degree,High,Female,High,1.0,Laboratory Technician,High,Single,8.336630087637149,105.73079021741964,1.0,Yes,3.6055512754639887,Outstanding,High,0.0,1.4142135623730951,2.0,Good,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951
77,44.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,High,Male,High,1.0,Laboratory Technician,Very High,Single,7.632401126601452,81.67006795638167,2.0,No,3.3166247903554,Outstanding,Very High,0.0,2.6457513110645907,3.0,Better,1.5811388300841898,1.0,0.0,0.0
78,27.5,Yes,Research & Development,1.4142135623730951,Master,Life Sciences,Medium,Male,Low,1.0,Laboratory Technician,Very High,Divorced,7.804251383528112,133.13526955694348,2.0,Yes,3.6055512754639887,Excellent,High,1.0,3.1622776601683795,3.0,Good,1.0,2.6457513110645907,1.0,0.0
79,51.0,No,Sales,3.6055512754639887,Below College,Medical,Medium,Male,High,1.0,Sales Representative,High,Married,9.268231850391961,162.4068964052943,1.0,No,3.3166247903554,Excellent,High,0.0,2.6457513110645907,5.0,Better,2.0,2.0,0.0,2.449489742783178
80,24.0,No,Research & Development,1.0,Bachelor,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Married,9.259511415982633,74.3706931526122,1.0,No,3.3166247903554,Excellent,High,1.0,2.23606797749979,2.0,Best,0.0,1.7320508075688772,0.0,1.7320508075688772
81,31.0,No,Research & Development,3.0,Bachelor,Medical,Very High,Male,High,1.0,Research Scientist,Very High,Married,8.222016437202196,51.11751167652822,1.0,No,4.795831523312719,Excellent,Very High,1.0,2.23606797749979,2.0,Good,1.4142135623730951,1.4142135623730951,0.0,2.0
82,39.5,No,Research & Development,2.6457513110645907,Bachelor,Medical,Medium,Male,Medium,1.0,Research Scientist,Medium,Married,8.557951183888406,73.13002119512889,1.0,No,3.4641016151377544,MISSING,Medium,1.0,2.449489742783178,2.0,Good,4.0,2.0,1.0,1.0
83,33.0,Yes,Research & Development,5.291502622129181,College,Life Sciences,Low,Male,Medium,1.4142135623730951,Laboratory Technician,Low,Single,8.336630087637149,150.69837424471442,1.7320508075688772,No,4.47213595499958,Excellent,Low,0.0,4.47213595499958,3.0,Better,3.1622776601683795,1.7320508075688772,1.0,1.7320508075688772
84,28.0,No,Sales,2.449489742783178,Bachelor,Life Sciences,Very High,Female,High,1.7320508075688772,Manager,Very High,Single,7.83002808253384,121.13628688382354,1.7320508075688772,Yes,4.242640687119285,Excellent,High,0.0,4.0,4.0,Better,1.0,0.0,0.0,0.0
85,31.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,Very High,Male,High,1.0,Research Scientist,Very High,Single,8.843470781627381,79.3536388579629,1.4142135623730951,No,3.6055512754639887,Excellent,High,0.0,2.449489742783178,3.0,Good,2.8284271247461903,1.4142135623730951,1.0,1.4142135623730951
86,46.0,No,Research & Development,4.0,Master,Technical Degree,High,Male,High,1.0,Laboratory Technician,Medium,Married,9.88466144828608,109.93634521849451,3.0,No,3.7416573867739413,Excellent,Medium,1.0,2.0,0.0,Better,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
87,30.0,No,Sales,3.0,Bachelor,Marketing,High,Female,High,2.23606797749979,Manager,High,Married,7.632401126601452,139.71041478715895,2.0,Yes,4.0,Outstanding,High,1.0,5.196152422706632,2.0,Better,2.23606797749979,0.0,0.0,0.0
88,27.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,Medium,1.0,Research Scientist,High,Single,9.849242537683732,102.62066068779717,1.0,No,4.123105625617661,Excellent,Low,0.0,1.7320508075688772,3.0,Best,2.0,1.4142135623730951,1.0,0.0
89,40.0,Yes,Research & Development,1.7320508075688772,Below College,Technical Degree,High,Female,High,1.0,Research Scientist,Low,Single,8.145549631783584,81.12952606788727,0.0,No,4.69041575982343,Outstanding,High,0.0,2.6457513110645907,2.0,Better,1.0,2.0,0.0,2.0
