Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
48.0,No,Research & Development,5.385164807134505,Master,Other,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Single,9.305559638557117,88.0,1.0,No,5.0,MISSING,Medium,0.0,4.47213595499958,3.0,Better,3.8729833462074175,3.3166247903554,3.6055512754639887,4.123105625617661
38.0,No,Research & Development,5.291502622129181,Master,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Divorced,8.279950715722526,164.21936548409874,2.0,No,4.69041575982343,Excellent,Low,1.0,3.3166247903554,3.0,Better,1.7320508075688772,2.23606797749979,1.0,2.6457513110645907
45.5,Yes,Sales,5.385164807134505,College,Medical,Medium,Male,Low,1.4142135623730951,Sales Executive,Low,Single,8.210939733379021,147.69224759614158,2.8284271247461903,No,4.242640687119285,Excellent,Very High,0.0,2.6457513110645907,2.0,Better,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951
46.0,No,Research & Development,1.0,Master,Life Sciences,Medium,Male,Low,1.0,Research Scientist,Very High,Divorced,9.171495588152617,137.69168457100088,1.0,No,4.242640687119285,Excellent,Very High,1.0,3.1622776601683795,3.0,Better,3.0,2.6457513110645907,1.4142135623730951,2.8284271247461903
41.0,No,Sales,1.7320508075688772,Master,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,Very High,Divorced,7.804251383528112,82.5348411278534,2.449489742783178,No,3.6055512754639887,Excellent,Medium,1.0,3.4641016151377544,2.0,Better,3.0,3.0,0.0,2.8284271247461903
36.0,No,Sales,3.1622776601683795,Bachelor,Medical,High,Male,Medium,1.4142135623730951,Sales Executive,High,Single,8.721602344674197,153.0130713370593,3.0,No,3.3166247903554,MISSING,High,0.0,2.8284271247461903,3.0,Better,1.4142135623730951,1.4142135623730951,1.0,2.0
28.0,No,Research & Development,3.0,Doctor,Other,Medium,Male,Medium,1.0,Laboratory Technician,Very High,Single,7.903226808730732,87.29833904490967,0.0,No,4.123105625617661,Excellent,High,0.0,2.0,3.0,Better,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951
34.0,Yes,Sales,5.196152422706632,Bachelor,Life Sciences,High,Female,High,1.4142135623730951,Sales Executive,Very High,Single,9.597234094498912,116.15506876585285,1.0,Yes,4.242640687119285,Excellent,Very High,0.0,3.1622776601683795,3.0,Better,4.0,2.6457513110645907,2.6457513110645907,2.6457513110645907
34.0,No,Research & Development,4.0,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Low,Divorced,8.194781638443361,157.9271984174987,2.0,Yes,4.0,Excellent,Medium,1.0,4.123105625617661,3.0,Good,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951
56.0,No,Research & Development,4.58257569495584,Bachelor,Life Sciences,Medium,Female,Very High,1.0,Research Scientist,Low,Married,9.900633483553221,151.58166115991736,1.0,Yes,3.4641016151377544,MISSING,Low,1.0,2.8284271247461903,2.0,Good,2.23606797749979,2.6457513110645907,1.0,2.6457513110645907
33.0,No,Research & Development,1.7320508075688772,Bachelor,Other,Very High,Male,High,1.4142135623730951,Healthcare Representative,Medium,Single,8.557759153162898,117.67752546684521,1.7320508075688772,No,3.8729833462074175,Excellent,Low,0.0,2.8284271247461903,3.0,Good,3.8729833462074175,1.7320508075688772,0.0,1.0
41.0,No,Research & Development,3.4641016151377544,Below College,Medical,High,Male,High,1.0,Research Scientist,Very High,Married,8.724369949208366,83.57032966310472,2.8284271247461903,Yes,4.795831523312719,Excellent,High,1.0,2.6457513110645907,4.0,Better,4.358898943540674,1.4142135623730951,0.0,1.4142135623730951
44.0,No,Research & Development,1.7320508075688772,College,Medical,High,Male,Medium,1.4142135623730951,Laboratory Technician,High,Divorced,8.13739583005665,101.49876846543509,0.0,No,3.8729833462074175,Excellent,Very High,1.0,3.3166247903554,3.0,Better,2.23606797749979,2.8284271247461903,0.0,2.6457513110645907
21.0,No,Sales,1.7320508075688772,Bachelor,Medical,Very High,Male,High,2.0,Sales Executive,High,Divorced,8.044626279767337,101.11874208078342,3.0,Yes,3.4641016151377544,Excellent,Very High,1.4142135623730951,5.291502622129181,2.0,Good,1.4142135623730951,1.4142135623730951,3.3166247903554,3.6055512754639887
26.0,No,Research & Development,2.6457513110645907,Master,Medical,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Married,8.607399459302387,125.28367810692659,2.0,No,3.8729833462074175,Excellent,Medium,1.0,3.741657386773941,2.0,Good,2.8284271247461903,1.0,1.0,2.6457513110645907
45.0,No,Sales,2.6457513110645907,Master,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Single,8.54752839121231,88.26664149042944,0.0,No,4.47213595499958,MISSING,Low,0.0,2.8284271247461903,3.0,Better,2.8284271247461903,2.6457513110645907,0.0,2.23606797749979
48.0,No,Research & Development,2.8284271247461903,College,Medical,High,Male,Very High,1.4142135623730951,Research Scientist,High,Married,9.812741939229383,148.86906999104946,2.23606797749979,No,3.4641016151377544,MISSING,High,1.0,3.0,2.0,Good,1.0,1.7320508075688772,1.0,1.7320508075688772
56.0,Yes,Research & Development,3.1622776601683795,Master,Medical,Very High,Male,High,1.4142135623730951,Manufacturing Director,Low,Single,9.314970621054263,70.65408693062278,1.0,No,3.8729833462074175,Excellent,Medium,0.0,3.1622776601683795,1.0,Bad,3.1622776601683795,1.7320508075688772,0.0,2.8284271247461903
27.5,No,Research & Development,1.0,Master,Medical,Medium,Female,Very High,2.0,Research Director,Very High,Divorced,8.4906438561827,111.41813137905338,1.4142135623730951,No,3.6055512754639887,Excellent,Very High,1.4142135623730951,5.5677643628300215,3.0,Best,2.0,2.6457513110645907,0.0,0.0
34.0,No,Sales,2.23606797749979,Below College,Medical,High,Male,High,1.0,Sales Representative,Low,Single,9.73115592977152,159.62142713307634,1.0,Yes,3.3166247903554,MISSING,Very High,0.0,1.4142135623730951,2.0,Better,2.0,1.4142135623730951,1.0,1.4142135623730951
19.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,7.849323818040562,122.72734006732159,2.0,No,3.4641016151377544,Excellent,High,0.0,3.6055512754639887,3.0,Good,1.0,2.6457513110645907,2.6457513110645907,1.4142135623730951
26.0,Yes,Research & Development,2.23606797749979,Master,Technical Degree,High,Female,High,1.0,Laboratory Technician,High,Single,8.336630087637149,105.73079021741964,1.0,Yes,3.6055512754639887,Outstanding,High,0.0,1.4142135623730951,2.0,Good,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951
44.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,High,Male,High,1.0,Laboratory Technician,Very High,Single,7.632401126601452,81.67006795638167,2.0,No,3.3166247903554,Outstanding,Very High,0.0,2.6457513110645907,3.0,Better,1.5811388300841898,1.0,0.0,0.0
27.5,Yes,Research & Development,1.4142135623730951,Master,Life Sciences,Medium,Male,Low,1.0,Laboratory Technician,Very High,Divorced,7.804251383528112,133.13526955694348,2.0,Yes,3.6055512754639887,Excellent,High,1.0,3.1622776601683795,3.0,Good,1.0,2.6457513110645907,1.0,0.0
24.0,No,Research & Development,1.0,Bachelor,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Married,9.259511415982633,74.3706931526122,1.0,No,3.3166247903554,Excellent,High,1.0,2.23606797749979,2.0,Best,0.0,1.7320508075688772,0.0,1.7320508075688772
31.0,No,Research & Development,3.0,Bachelor,Medical,Very High,Male,High,1.0,Research Scientist,Very High,Married,8.222016437202196,51.11751167652822,1.0,No,4.795831523312719,Excellent,Very High,1.0,2.23606797749979,2.0,Good,1.4142135623730951,1.4142135623730951,0.0,2.0
39.5,No,Research & Development,2.6457513110645907,Bachelor,Medical,Medium,Male,Medium,1.0,Research Scientist,Medium,Married,8.557951183888406,73.13002119512889,1.0,No,3.4641016151377544,MISSING,Medium,1.0,2.449489742783178,2.0,Good,4.0,2.0,1.0,1.0
33.0,Yes,Research & Development,5.291502622129181,College,Life Sciences,Low,Male,Medium,1.4142135623730951,Laboratory Technician,Low,Single,8.336630087637149,150.69837424471442,1.7320508075688772,No,4.47213595499958,Excellent,Low,0.0,4.47213595499958,3.0,Better,3.1622776601683795,1.7320508075688772,1.0,1.7320508075688772
28.0,No,Sales,2.449489742783178,Bachelor,Life Sciences,Very High,Female,High,1.7320508075688772,Manager,Very High,Single,7.83002808253384,121.13628688382354,1.7320508075688772,Yes,4.242640687119285,Excellent,High,0.0,4.0,4.0,Better,1.0,0.0,0.0,0.0
31.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,Very High,Male,High,1.0,Research Scientist,Very High,Single,8.843470781627381,79.3536388579629,1.4142135623730951,No,3.6055512754639887,Excellent,High,0.0,2.449489742783178,3.0,Good,2.8284271247461903,1.4142135623730951,1.0,1.4142135623730951
30.0,No,Sales,3.0,Bachelor,Marketing,High,Female,High,2.23606797749979,Manager,High,Married,7.632401126601452,139.71041478715895,2.0,Yes,4.0,Outstanding,High,1.0,5.196152422706632,2.0,Better,2.23606797749979,0.0,0.0,0.0
27.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,Medium,1.0,Research Scientist,High,Single,9.849242537683732,102.62066068779717,1.0,No,4.123105625617661,Excellent,Low,0.0,1.7320508075688772,3.0,Best,2.0,1.4142135623730951,1.0,0.0
40.0,Yes,Research & Development,1.7320508075688772,Below College,Technical Degree,High,Female,High,1.0,Research Scientist,Low,Single,8.145549631783584,81.12952606788727,0.0,No,4.69041575982343,Outstanding,High,0.0,2.6457513110645907,2.0,Better,1.0,2.0,0.0,2.0
29.0,No,Research & Development,4.795831523312719,Doctor,Life Sciences,Low,Male,High,2.0,Research Director,Very High,Single,8.245909264774092,126.09916732476864,1.4142135623730951,No,3.741657386773941,Excellent,Medium,0.0,4.0,3.0,Better,3.3166247903554,0.0,0.0,0.0
27.0,No,Research & Development,1.4142135623730951,Doctor,Medical,Very High,Male,High,1.0,Research Scientist,High,Married,7.70796153183549,143.0769023986751,2.449489742783178,Yes,3.6055512754639887,Excellent,Medium,1.0,2.449489742783178,3.0,Bad,2.23606797749979,0.0,0.0,1.0
46.0,No,Research & Development,3.1622776601683795,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Research Director,Very High,Married,9.056956065076825,124.38247464976729,1.0,Yes,5.0,Excellent,Low,1.0,4.0,3.0,Better,3.0,3.3166247903554,2.449489742783178,2.8284271247461903
36.0,No,Research & Development,2.6457513110645907,Bachelor,Medical,Low,Male,High,1.0,Research Scientist,High,Married,8.336630087637149,141.77446878757826,2.0,Yes,4.358898943540674,Excellent,High,1.0,2.6457513110645907,3.0,Good,2.0,1.4142135623730951,0.0,1.4142135623730951
36.0,No,Research & Development,5.0,Doctor,Medical,Medium,Male,High,1.4142135623730951,Research Scientist,High,Married,7.8800482009715775,154.48624534242526,1.7320508075688772,Yes,3.8729833462074175,Outstanding,Low,1.4142135623730951,3.8729833462074175,3.0,Better,1.7320508075688772,3.3166247903554,3.1622776601683795,2.6457513110645907
50.0,No,Research & Development,1.4142135623730951,Below College,Life Sciences,Very High,Male,Medium,1.4142135623730951,Manufacturing Director,High,Married,9.869465303921693,118.63389060466659,1.0,No,4.123105625617661,Excellent,High,0.0,3.1622776601683795,2.0,Good,1.0,3.0,1.0,3.0
37.0,No,Research & Development,1.0,Master,Life Sciences,High,Male,High,1.4142135623730951,Healthcare Representative,High,Divorced,9.522519916028351,161.97530676001205,1.0,No,4.58257569495584,Excellent,Low,1.0,3.6055512754639887,2.0,Good,2.23606797749979,3.4641016151377544,1.0,3.0
22.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,Medium,Female,Medium,1.4142135623730951,Laboratory Technician,High,Married,7.7160152666425885,115.9137610467368,2.449489742783178,No,4.69041575982343,Excellent,Medium,1.0,4.47213595499958,1.0,Better,1.4142135623730951,0.0,0.0,0.0
40.0,Yes,Sales,1.0,College,Life Sciences,Low,Female,Low,1.4142135623730951,Sales Executive,Medium,Single,8.353261499733874,110.21342930877344,2.449489742783178,No,3.8729833462074175,Outstanding,Medium,0.0,3.1622776601683795,2.0,Better,2.8284271247461903,0.0,0.0,0.0
33.0,No,Research & Development,1.0,Master,Medical,Very High,Female,High,2.23606797749979,Research Director,Very High,Divorced,8.413608875159667,146.44111444536333,3.0,No,4.123105625617661,Outstanding,Very High,1.4142135623730951,4.795831523312719,4.0,Better,3.6055512754639887,1.4142135623730951,1.4142135623730951,1.4142135623730951
40.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Female,High,1.0,Laboratory Technician,Very High,Single,9.259511415982633,108.92199043352082,0.0,No,3.6055512754639887,Excellent,High,0.0,2.8284271247461903,2.0,Good,2.23606797749979,2.6457513110645907,1.7320508075688772,2.449489742783178
28.0,No,Sales,2.8284271247461903,Bachelor,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,High,Single,9.73115592977152,54.543560573178574,1.0,No,3.8729833462074175,Excellent,Very High,0.0,3.0,2.0,Better,2.8284271247461903,2.8284271247461903,1.0,2.6457513110645907
48.0,No,Sales,4.358898943540674,Bachelor,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,High,Divorced,7.632401126601452,154.13305939998725,1.0,No,3.741657386773941,Excellent,High,1.4142135623730951,3.1622776601683795,2.0,Better,0.0,2.6457513110645907,0.0,2.0
44.0,No,Research & Development,3.1622776601683795,Master,Medical,Very High,Male,High,1.0,Research Scientist,High,Divorced,9.854769885738698,77.27871634544663,1.0,Yes,4.123105625617661,Excellent,Very High,1.0,2.23606797749979,1.0,Best,4.69041575982343,1.7320508075688772,1.4142135623730951,0.0
29.0,No,Research & Development,3.0,Bachelor,Medical,Very High,Female,High,1.0,Research Scientist,Medium,Divorced,8.9005490139363,77.26577508832743,2.449489742783178,No,4.242640687119285,Excellent,Very High,1.0,2.449489742783178,3.0,Bad,3.3166247903554,1.4142135623730951,1.4142135623730951,1.4142135623730951
35.0,No,Sales,1.0,Master,Marketing,High,Male,Medium,1.4142135623730951,Sales Executive,Low,Single,9.296793259706384,151.71025014810306,0.0,No,3.741657386773941,Excellent,Medium,0.0,4.0,2.0,Better,3.6055512754639887,3.6055512754639887,1.4142135623730951,2.8284271247461903
26.0,No,Sales,1.7320508075688772,Bachelor,Medical,Low,Female,Medium,1.7320508075688772,Sales Executive,Very High,Married,8.332548939252638,112.67209059922514,0.0,No,4.358898943540674,Excellent,High,1.4142135623730951,3.1622776601683795,2.0,Better,1.4142135623730951,2.6457513110645907,1.7320508075688772,2.0
37.0,No,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,Medium,1.0,Laboratory Technician,Medium,Married,9.1616751999949,60.89334939055332,2.23606797749979,No,4.123105625617661,Excellent,Low,1.0,2.6457513110645907,2.0,Good,2.7386127875258306,2.0,0.0,1.4142135623730951
38.0,No,Research & Development,3.0,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Medium,Married,7.43955930913332,96.11451503285026,1.0,No,4.69041575982343,Outstanding,Medium,0.0,2.23606797749979,3.0,Better,1.0,2.0,0.0,1.4142135623730951
48.0,No,Research & Development,2.449489742783178,Doctor,Life Sciences,High,Male,High,1.0,Research Scientist,High,Single,9.629182277125986,111.48990985734987,1.7320508075688772,No,4.47213595499958,Outstanding,Low,0.0,2.8284271247461903,3.0,Better,1.4142135623730951,2.0,1.0,2.0
31.0,Yes,Sales,2.6457513110645907,College,Medical,Very High,Female,High,1.0,Sales Representative,High,Married,8.424858580213442,108.35128056465228,1.4142135623730951,Yes,3.3166247903554,Excellent,High,1.4142135623730951,4.358898943540674,2.0,Better,1.4142135623730951,2.6457513110645907,2.6457513110645907,2.6457513110645907
27.5,No,Human Resources,1.4142135623730951,Bachelor,Human Resources,Low,Male,High,1.0,Human Resources,Medium,Divorced,9.83745458193169,84.43340571124678,2.23606797749979,No,3.6055512754639887,MISSING,Very High,1.7320508075688772,3.6055512754639887,3.0,Better,4.898979485566356,3.1622776601683795,1.7320508075688772,2.8284271247461903
38.0,No,Sales,1.0,College,Medical,Medium,Female,Low,1.4142135623730951,Sales Executive,Very High,Married,8.595079730073309,115.20850663036995,1.4142135623730951,Yes,4.69041575982343,Outstanding,High,1.7320508075688772,2.449489742783178,4.0,Good,2.0,1.7320508075688772,0.0,1.4142135623730951
